dt_s,v_muzzle,P_max_MPa,v_err_pct,P_err_pct
2e-06,500.9848875153402,152.92976587469533,-2.416075548897197e-06,-0.00034630032038300703
1e-06,500.9848971238984,152.9302242889109,-4.981418472518948e-07,-4.654662269956772e-05
5e-07,500.984898814471,152.9302426921443,-1.6069203223911672e-07,-3.4512883174674877e-05
2e-07,500.98489951535686,152.93029115826553,-2.0790443341762887e-08,-2.8212415163021333e-06
1e-07,500.9848995937826,152.93029482874692,-5.136133562477708e-09,-4.2114062100233596e-07
