h_km,v_rel_m_s,d_cloud_cm,beta,beta_case,eps,dv_required_m_s,m_launch_g,m_incident_mg,Es_bulk_kJ_kg,Es_per_grain_J_kg,per_grain_frac_of_threshold,subcatastrophic,subcat_worst_threshold,N_grains,N_on_target,cost_Re_usd,cost_W_usd
900,800,5,1.292,INT-2 central,0.112924,51.8065,1.25499,141.718,32.0784,226.908,0.0056727,True,False,1251.92,141.372,12.905,3.89046
900,800,5,1.2416,INT-2 low,0.112924,51.8065,1.30593,147.47,33.3805,226.908,0.0056727,True,False,1302.74,147.11,13.4288,4.04837
900,800,5,1.5,v5 nominal,0.112924,51.8065,1.08096,122.066,27.6301,226.908,0.0056727,True,True,1078.32,121.768,11.1155,3.35097
900,800,10,1.292,INT-2 central,0.0295119,51.8065,4.80206,141.718,32.0784,226.908,0.0056727,True,False,4790.33,141.372,49.3796,14.8864
900,800,10,1.2416,INT-2 low,0.0295119,51.8065,4.99698,147.47,33.3805,226.908,0.0056727,True,False,4984.77,147.11,51.3839,15.4906
900,800,10,1.5,v5 nominal,0.0295119,51.8065,4.13616,122.066,27.6301,226.908,0.0056727,True,True,4126.06,121.768,42.5322,12.8221
900,1000,2,1.37838,INT-2 central,0.527116,51.8065,0.201605,106.269,37.5851,354.544,0.00886359,True,False,201.113,106.01,2.07311,0.624976
900,1000,2,1.30739,INT-2 low,0.527116,51.8065,0.212552,112.039,39.6258,354.544,0.00886359,True,False,212.032,111.766,2.18567,0.65891
900,1000,2,1.5,v5 nominal,0.527116,51.8065,0.185259,97.6529,34.5377,354.544,0.00886359,True,False,184.806,97.4144,1.90502,0.574303
900,1000,5,1.37838,INT-2 central,0.112924,51.8065,0.941068,106.269,37.5851,354.544,0.00886359,True,False,938.77,106.01,9.67701,2.91731
900,1000,5,1.30739,INT-2 low,0.112924,51.8065,0.992164,112.039,39.6258,354.544,0.00886359,True,False,989.741,111.766,10.2024,3.07571
900,1000,5,1.5,v5 nominal,0.112924,51.8065,0.864766,97.6529,34.5377,354.544,0.00886359,True,False,862.654,97.4144,8.89239,2.68078
900,1000,10,1.37838,INT-2 central,0.0295119,51.8065,3.60089,106.269,37.5851,354.544,0.00886359,True,False,3592.1,106.01,37.028,11.1628
900,1000,10,1.30739,INT-2 low,0.0295119,51.8065,3.7964,112.039,39.6258,354.544,0.00886359,True,False,3787.13,111.766,39.0384,11.7689
