bore_mm,max_charge_g,v_muzzle,P_max_MPa,a_max_g,recoil_Ns,feasible
12.0,0.624949742647175,121.33881718673646,99.99999999975263,11186.737108296493,15.075308190429856,True
16.0,1.976575827081092,210.6719647455035,99.99999999989052,19887.532636999815,24.326585495382158,True
20.0,4.832982277664826,315.10629238754257,99.99999999996547,31074.26974533622,35.12929768247118,True
25.0,11.843362283737807,463.0455066080733,99.99999999998474,48553.546477097494,50.409416599491735,True
30.0,24.726427359445285,626.264801650024,99.99999999999481,69917.10692702765,67.25152197150062,True
40.0,80.44392044423998,983.7697577749858,99.99999999999928,124297.07898138819,104.12213209795782,True
50.0,149.99999999999574,1158.2145022063928,84.56547986497264,163311.06464129206,123.51330391475878,True
