v_rel,beta,momentum_Ns,matched_target_kg,matched_diameter_cm,Es_on_matched_kJ_kg,subcatastrophic
400,1.06292,42.5167,0.820683,8.34202,9.74798,True
619,1.20069,74.3224,1.43462,10.049,13.3541,True
