m_debris_kg,h_km,d_debris_cm,dv_required_m_s,beta,m_incident_required_g,m_incident_max_subcat_g,areal_penalty,m_powder_ideal_g,m_powder_g,n_shots,mode,cloud_sigma_mm,cloud_diameter_cm,Es_kJ_kg,Es_over_threshold,subcatastrophic,subcat_worst_case,total_accel_mass_g,within_coilgun_limit,self_disposal_ok,v_rel_m_s
0.3,800,5.96467,52.9068,1.20069,42.7114,62.6369,1,42.7114,50,1,DEFOCUS (charge floored at 50 g),22.8168,11.1697,27.2755,0.681889,True,True,69,True,True,619
0.3,900,5.96467,51.8065,1.20069,41.823,62.6369,1,41.823,50,1,DEFOCUS (charge floored at 50 g),23.0578,11.2877,26.7083,0.667707,True,True,69,True,True,619
0.3,1000,5.96467,50.7437,1.20069,40.9651,62.6369,1,40.9651,50,1,DEFOCUS (charge floored at 50 g),23.298,11.4053,26.1604,0.65401,True,True,69,True,True,619
0.3,1200,5.96467,48.7241,1.20069,39.3347,62.6369,1,39.3347,50,1,DEFOCUS (charge floored at 50 g),23.776,11.6393,25.1192,0.62798,True,True,69,True,True,619
0.4,400,6.56497,57.7243,1.20069,62.1339,83.5158,1,62.1339,62.1339,1,NOMINAL,9.99548,4.89319,29.7591,0.743978,True,True,81.1339,True,True,619
0.4,600,6.56497,55.2281,1.20069,59.4471,83.5158,1,59.4471,59.4471,1,NOMINAL,9.99548,4.89319,28.4723,0.711806,True,True,78.4471,True,True,619
0.4,800,6.56497,52.9068,1.20069,56.9485,83.5158,1,56.9485,56.9485,1,NOMINAL,9.99548,4.89319,27.2755,0.681889,True,True,75.9485,True,True,619
0.4,900,6.56497,51.8065,1.20069,55.7641,83.5158,1,55.7641,55.7641,1,NOMINAL,9.99548,4.89319,26.7083,0.667707,True,True,74.7641,True,True,619
0.4,1000,6.56497,50.7437,1.20069,54.6201,83.5158,1,54.6201,54.6201,1,NOMINAL,9.99548,4.89319,26.1604,0.65401,True,True,73.6201,True,True,619
0.4,1200,6.56497,48.7241,1.20069,52.4462,83.5158,1,52.4462,52.4462,1,NOMINAL,9.99548,4.89319,25.1192,0.62798,True,True,71.4462,True,True,619
0.5,400,7.0719,57.7243,1.20069,77.6674,104.395,1,77.6674,77.6674,1,NOMINAL,9.99548,4.89319,29.7591,0.743978,True,True,96.6674,True,True,619
0.5,600,7.0719,55.2281,1.20069,74.3088,104.395,1,74.3088,74.3088,1,NOMINAL,9.99548,4.89319,28.4723,0.711806,True,True,93.3088,True,True,619
0.5,800,7.0719,52.9068,1.20069,71.1856,104.395,1,71.1856,71.1856,1,NOMINAL,9.99548,4.89319,27.2755,0.681889,True,True,90.1856,True,True,619
0.5,900,7.0719,51.8065,1.20069,69.7051,104.395,1,69.7051,69.7051,1,NOMINAL,9.99548,4.89319,26.7083,0.667707,True,True,88.7051,True,True,619
0.5,1000,7.0719,50.7437,1.20069,68.2752,104.395,1,68.2752,68.2752,1,NOMINAL,9.99548,4.89319,26.1604,0.65401,True,True,87.2752,True,True,619
0.5,1200,7.0719,48.7241,1.20069,65.5578,104.395,1,65.5578,65.5578,1,NOMINAL,9.99548,4.89319,25.1192,0.62798,True,True,84.5578,True,True,619
0.6,400,7.51501,57.7243,1.20069,93.2008,125.274,1,93.2008,93.2008,1,NOMINAL,9.99548,4.89319,29.7591,0.743978,True,True,112.201,False,True,619
0.6,600,7.51501,55.2281,1.20069,89.1706,125.274,1,89.1706,89.1706,1,NOMINAL,9.99548,4.89319,28.4723,0.711806,True,True,108.171,False,True,619
0.6,800,7.51501,52.9068,1.20069,85.4227,125.274,1,85.4227,85.4227,1,NOMINAL,9.99548,4.89319,27.2755,0.681889,True,True,104.423,False,True,619
0.6,900,7.51501,51.8065,1.20069,83.6461,125.274,1,83.6461,83.6461,1,NOMINAL,9.99548,4.89319,26.7083,0.667707,True,True,102.646,False,True,619
