N_turns,L_coil_uH,R_coil_mOhm,n_stages,length_m,E_stored_kJ,eta_pct,V_typ_kV,m_cu_kg,m_cap_kg
15,6.125961352400291,6.020390484445841,32,1.4080000000000001,41.864476627651555,19.130768991525855,4.0,2.84279049843121,27.90965108510104
22,13.177623531385516,8.8299060438539,32,1.4080000000000001,41.294851027395445,19.63000956984423,7.0,4.169426064365775,27.529900684930297
30,24.503845409601166,12.040780968891681,31,1.364,42.25960790900408,19.63219173025585,12.0,5.507906590710469,28.173071939336054
45,55.13365217160262,18.061171453337522,29,1.276,41.19824495056039,20.09429480993917,18.0,7.728836667609852,27.465496633706923
60,98.01538163840466,24.081561937783363,28,1.2320000000000002,39.817225855211795,20.277156659322404,18.0,9.949766744509235,26.544817236807862
