d_cloud_cm,sigma_cloud_mm,d_target_cm,d_grain_um,m_grain_mg,m_launch_mg,area_ratio,eps,peak_areal_density_kg_m2,N_grains_total,N_grains_on_target,poisson_cv,averaging_valid
2,4.08547,1,200,0.0880065,10000,4,0.527116,95.3535,113628,59895.1,0.00408606,True
2,4.08547,1,450,1.00245,0.5,4,0.527116,0.00476767,0.498779,0.262914,1.95026,False
2,4.08547,1,450,1.00245,5,4,0.527116,0.0476767,4.98779,2.62914,0.616727,False
2,4.08547,1,450,1.00245,50,4,0.527116,0.476767,49.8779,26.2914,0.195026,False
2,4.08547,1,450,1.00245,500,4,0.527116,4.76767,498.779,262.914,0.0616727,True
2,4.08547,1,450,1.00245,3000,4,0.527116,28.606,2992.67,1577.48,0.0251778,True
2,4.08547,1,450,1.00245,10000,4,0.527116,95.3535,9975.57,5258.28,0.0137904,True
2,4.08547,1,1000,11.0008,0.5,4,0.527116,0.00476767,0.0454512,0.023958,6.46062,False
2,4.08547,1,1000,11.0008,5,4,0.527116,0.0476767,0.454512,0.23958,2.04303,False
2,4.08547,1,1000,11.0008,50,4,0.527116,0.476767,4.54512,2.3958,0.646062,False
2,4.08547,1,1000,11.0008,500,4,0.527116,4.76767,45.4512,23.958,0.204303,False
2,4.08547,1,1000,11.0008,3000,4,0.527116,28.606,272.707,143.748,0.0834063,True
2,4.08547,1,1000,11.0008,10000,4,0.527116,95.3535,909.024,479.161,0.0456835,True
2,4.08547,1,2000,88.0065,0.5,4,0.527116,0.00476767,0.0056814,0.00299475,18.2734,False
2,4.08547,1,2000,88.0065,5,4,0.527116,0.0476767,0.056814,0.0299475,5.77856,False
2,4.08547,1,2000,88.0065,50,4,0.527116,0.476767,0.56814,0.299475,1.82734,False
2,4.08547,1,2000,88.0065,500,4,0.527116,4.76767,5.6814,2.99475,0.577856,False
2,4.08547,1,2000,88.0065,3000,4,0.527116,28.606,34.0884,17.9685,0.235909,False
2,4.08547,1,2000,88.0065,10000,4,0.527116,95.3535,113.628,59.8951,0.129212,False
2,4.08547,2,50,0.0013751,0.5,1,0.949994,0.00476767,363.61,345.427,0.0538049,True
2,4.08547,2,50,0.0013751,5,1,0.949994,0.0476767,3636.1,3454.27,0.0170146,True
2,4.08547,2,50,0.0013751,50,1,0.949994,0.476767,36361,34542.7,0.00538049,True
2,4.08547,2,50,0.0013751,500,1,0.949994,4.76767,363610,345427,0.00170146,True
2,4.08547,2,50,0.0013751,3000,1,0.949994,28.606,2.18166e+06,2.07256e+06,0.000694618,True
2,4.08547,2,50,0.0013751,10000,1,0.949994,95.3535,7.27219e+06,6.90854e+06,0.000380458,True
2,4.08547,2,100,0.0110008,0.5,1,0.949994,0.00476767,45.4512,43.1784,0.152183,False
2,4.08547,2,100,0.0110008,5,1,0.949994,0.0476767,454.512,431.784,0.0481246,True
2,4.08547,2,100,0.0110008,50,1,0.949994,0.476767,4545.12,4317.84,0.0152183,True
2,4.08547,2,100,0.0110008,500,1,0.949994,4.76767,45451.2,43178.4,0.00481246,True
2,4.08547,2,100,0.0110008,3000,1,0.949994,28.606,272707,259070,0.00196468,True
2,4.08547,2,100,0.0110008,10000,1,0.949994,95.3535,909024,863568,0.0010761,True
2,4.08547,2,200,0.0880065,0.5,1,0.949994,0.00476767,5.6814,5.3973,0.430439,False
2,4.08547,2,200,0.0880065,5,1,0.949994,0.0476767,56.814,53.973,0.136117,False
2,4.08547,2,200,0.0880065,50,1,0.949994,0.476767,568.14,539.73,0.0430439,True
2,4.08547,2,200,0.0880065,500,1,0.949994,4.76767,5681.4,5397.3,0.0136117,True
2,4.08547,2,200,0.0880065,3000,1,0.949994,28.606,34088.4,32383.8,0.00555695,True
2,4.08547,2,200,0.0880065,10000,1,0.949994,95.3535,113628,107946,0.00304366,True
2,4.08547,2,450,1.00245,0.5,1,0.949994,0.00476767,0.498779,0.473837,1.45273,False
2,4.08547,2,450,1.00245,5,1,0.949994,0.0476767,4.98779,4.73837,0.459394,False
2,4.08547,2,450,1.00245,50,1,0.949994,0.476767,49.8779,47.3837,0.145273,False
2,4.08547,2,450,1.00245,500,1,0.949994,4.76767,498.779,473.837,0.0459394,True
2,4.08547,2,450,1.00245,3000,1,0.949994,28.606,2992.67,2843.02,0.0187547,True
2,4.08547,2,450,1.00245,10000,1,0.949994,95.3535,9975.57,9476.74,0.0102724,True
2,4.08547,2,1000,11.0008,0.5,1,0.949994,0.00476767,0.0454512,0.0431784,4.81246,False
2,4.08547,2,1000,11.0008,5,1,0.949994,0.0476767,0.454512,0.431784,1.52183,False
2,4.08547,2,1000,11.0008,50,1,0.949994,0.476767,4.54512,4.31784,0.481246,False
2,4.08547,2,1000,11.0008,500,1,0.949994,4.76767,45.4512,43.1784,0.152183,False
2,4.08547,2,1000,11.0008,3000,1,0.949994,28.606,272.707,259.07,0.0621285,True
2,4.08547,2,1000,11.0008,10000,1,0.949994,95.3535,909.024,863.568,0.0340292,True
2,4.08547,2,2000,88.0065,0.5,1,0.949994,0.00476767,0.0056814,0.0053973,13.6117,False
2,4.08547,2,2000,88.0065,5,1,0.949994,0.0476767,0.056814,0.053973,4.30439,False
2,4.08547,2,2000,88.0065,50,1,0.949994,0.476767,0.56814,0.53973,1.36117,False
2,4.08547,2,2000,88.0065,500,1,0.949994,4.76767,5.6814,5.3973,0.430439,False
2,4.08547,2,2000,88.0065,3000,1,0.949994,28.606,34.0884,32.3838,0.175726,False
2,4.08547,2,2000,88.0065,10000,1,0.949994,95.3535,113.628,107.946,0.0962491,True
2,4.08547,5,50,0.0013751,0.5,0.16,1,0.00476767,363.61,363.61,0.0524424,True
2,4.08547,5,50,0.0013751,5,0.16,1,0.0476767,3636.1,3636.1,0.0165837,True
2,4.08547,5,50,0.0013751,50,0.16,1,0.476767,36361,36361,0.00524424,True
2,4.08547,5,50,0.0013751,500,0.16,1,4.76767,363610,363610,0.00165837,True
2,4.08547,5,50,0.0013751,3000,0.16,1,28.606,2.18166e+06,2.18166e+06,0.000677028,True
2,4.08547,5,50,0.0013751,10000,0.16,1,95.3535,7.27219e+06,7.27219e+06,0.000370824,True
2,4.08547,5,100,0.0110008,0.5,0.16,1,0.00476767,45.4512,45.4512,0.148329,False
2,4.08547,5,100,0.0110008,5,0.16,1,0.0476767,454.512,454.512,0.0469059,True
2,4.08547,5,100,0.0110008,50,0.16,1,0.476767,4545.12,4545.12,0.0148329,True
2,4.08547,5,100,0.0110008,500,0.16,1,4.76767,45451.2,45451.2,0.00469059,True
2,4.08547,5,100,0.0110008,3000,0.16,1,28.606,272707,272707,0.00191492,True
2,4.08547,5,100,0.0110008,10000,0.16,1,95.3535,909024,909024,0.00104885,True
2,4.08547,5,200,0.0880065,0.5,0.16,1,0.00476767,5.6814,5.6814,0.419539,False
2,4.08547,5,200,0.0880065,5,0.16,1,0.0476767,56.814,56.814,0.13267,False
2,4.08547,5,200,0.0880065,50,0.16,1,0.476767,568.14,568.14,0.0419539,True
2,4.08547,5,200,0.0880065,500,0.16,1,4.76767,5681.4,5681.4,0.013267,True
2,4.08547,5,200,0.0880065,3000,0.16,1,28.606,34088.4,34088.4,0.00541623,True
2,4.08547,5,200,0.0880065,10000,0.16,1,95.3535,113628,113628,0.00296659,True
2,4.08547,5,450,1.00245,0.5,0.16,1,0.00476767,0.498779,0.498779,1.41594,False
2,4.08547,5,450,1.00245,5,0.16,1,0.0476767,4.98779,4.98779,0.447761,False
2,4.08547,5,450,1.00245,50,0.16,1,0.476767,49.8779,49.8779,0.141594,False
2,4.08547,5,450,1.00245,500,0.16,1,4.76767,498.779,498.779,0.0447761,True
2,4.08547,5,450,1.00245,3000,0.16,1,28.606,2992.67,2992.67,0.0182798,True
2,4.08547,5,450,1.00245,10000,0.16,1,95.3535,9975.57,9975.57,0.0100122,True
2,4.08547,5,1000,11.0008,0.5,0.16,1,0.00476767,0.0454512,0.0454512,4.69059,False
2,4.08547,5,1000,11.0008,5,0.16,1,0.0476767,0.454512,0.454512,1.48329,False
2,4.08547,5,1000,11.0008,50,0.16,1,0.476767,4.54512,4.54512,0.469059,False
2,4.08547,5,1000,11.0008,500,0.16,1,4.76767,45.4512,45.4512,0.148329,False
2,4.08547,5,1000,11.0008,3000,0.16,1,28.606,272.707,272.707,0.0605552,True
2,4.08547,5,1000,11.0008,10000,0.16,1,95.3535,909.024,909.024,0.0331675,True
2,4.08547,5,2000,88.0065,0.5,0.16,1,0.00476767,0.0056814,0.0056814,13.267,False
2,4.08547,5,2000,88.0065,5,0.16,1,0.0476767,0.056814,0.056814,4.19539,False
2,4.08547,5,2000,88.0065,50,0.16,1,0.476767,0.56814,0.56814,1.3267,False
2,4.08547,5,2000,88.0065,500,0.16,1,4.76767,5.6814,5.6814,0.419539,False
2,4.08547,5,2000,88.0065,3000,0.16,1,28.606,34.0884,34.0884,0.171276,False
2,4.08547,5,2000,88.0065,10000,0.16,1,95.3535,113.628,113.628,0.0938118,True
2,4.08547,10,50,0.0013751,0.5,0.04,1,0.00476767,363.61,363.61,0.0524424,True
2,4.08547,10,50,0.0013751,5,0.04,1,0.0476767,3636.1,3636.1,0.0165837,True
