d_debris_cm,h_km,beta,miss_budget,sigma_miss_m,material,launch,n_engagements_life,C_platform,m_on_target_g,mass_penalty,m_shot_g,n_kicks,n_shots,cost_material,cost_launch,cost_energy,cost_platform,cost_per_object,cost_per_kg
1,400,1.5,100 mm budget,0.1,Re (2025 avg),7000 rideshare,10000,5e+07,0.17578,5007.26,880.175,1,1.11111,2431.24,6845.8,0.0130111,5000,14277.1,1.0099e+07
1,400,1.5,100 mm budget,0.1,Re (2025 avg),7000 rideshare,10000,5e+08,0.17578,5007.26,880.175,1,1.11111,2431.24,6845.8,0.0130111,50000,59277.1,4.19299e+07
1,400,1.5,100 mm budget,0.1,Re (2025 avg),7000 rideshare,100000,5e+07,0.17578,5007.26,880.175,1,1.11111,2431.24,6845.8,0.0130111,500,9777.06,6.91585e+06
1,400,1.5,100 mm budget,0.1,Re (2025 avg),7000 rideshare,100000,5e+08,0.17578,5007.26,880.175,1,1.11111,2431.24,6845.8,0.0130111,5000,14277.1,1.0099e+07
1,400,1.5,100 mm budget,0.1,W (upper),3000 dedicated,1000,5e+07,0.17578,5007.26,880.175,1,1.11111,97.7972,2933.92,0.0130111,50000,53031.7,3.75123e+07
1,400,1.5,100 mm budget,0.1,W (upper),3000 dedicated,1000,5e+08,0.17578,5007.26,880.175,1,1.11111,97.7972,2933.92,0.0130111,500000,503032,3.55822e+08
1,400,1.5,100 mm budget,0.1,W (upper),3000 dedicated,10000,5e+07,0.17578,5007.26,880.175,1,1.11111,97.7972,2933.92,0.0130111,5000,8031.73,5.68128e+06
1,400,1.5,100 mm budget,0.1,W (upper),3000 dedicated,10000,5e+08,0.17578,5007.26,880.175,1,1.11111,97.7972,2933.92,0.0130111,50000,53031.7,3.75123e+07
1,400,1.5,100 mm budget,0.1,W (upper),3000 dedicated,100000,5e+07,0.17578,5007.26,880.175,1,1.11111,97.7972,2933.92,0.0130111,500,3531.73,2.49819e+06
1,400,1.5,100 mm budget,0.1,W (upper),3000 dedicated,100000,5e+08,0.17578,5007.26,880.175,1,1.11111,97.7972,2933.92,0.0130111,5000,8031.73,5.68128e+06
1,400,1.5,100 mm budget,0.1,W (upper),7000 rideshare,1000,5e+07,0.17578,5007.26,880.175,1,1.11111,97.7972,6845.8,0.0130111,50000,56943.6,4.02794e+07
1,400,1.5,100 mm budget,0.1,W (upper),7000 rideshare,1000,5e+08,0.17578,5007.26,880.175,1,1.11111,97.7972,6845.8,0.0130111,500000,506944,3.58589e+08
1,400,1.5,100 mm budget,0.1,W (upper),7000 rideshare,10000,5e+07,0.17578,5007.26,880.175,1,1.11111,97.7972,6845.8,0.0130111,5000,11943.6,8.44838e+06
1,400,1.5,100 mm budget,0.1,W (upper),7000 rideshare,10000,5e+08,0.17578,5007.26,880.175,1,1.11111,97.7972,6845.8,0.0130111,50000,56943.6,4.02794e+07
1,400,1.5,100 mm budget,0.1,W (upper),7000 rideshare,100000,5e+07,0.17578,5007.26,880.175,1,1.11111,97.7972,6845.8,0.0130111,500,7443.61,5.26528e+06
1,400,1.5,100 mm budget,0.1,W (upper),7000 rideshare,100000,5e+08,0.17578,5007.26,880.175,1,1.11111,97.7972,6845.8,0.0130111,5000,11943.6,8.44838e+06
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),3000 dedicated,1000,5e+07,0.105468,16.8444,1.77654,1,1.11111,14.3762,5.92182,2.62617e-05,50000,50020.3,3.53821e+07
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),3000 dedicated,1000,5e+08,0.105468,16.8444,1.77654,1,1.11111,14.3762,5.92182,2.62617e-05,500000,500020,3.53692e+08
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),3000 dedicated,10000,5e+07,0.105468,16.8444,1.77654,1,1.11111,14.3762,5.92182,2.62617e-05,5000,5020.3,3.55113e+06
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),3000 dedicated,10000,5e+08,0.105468,16.8444,1.77654,1,1.11111,14.3762,5.92182,2.62617e-05,50000,50020.3,3.53821e+07
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),3000 dedicated,100000,5e+07,0.105468,16.8444,1.77654,1,1.11111,14.3762,5.92182,2.62617e-05,500,520.298,368036
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),3000 dedicated,100000,5e+08,0.105468,16.8444,1.77654,1,1.11111,14.3762,5.92182,2.62617e-05,5000,5020.3,3.55113e+06
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),7000 rideshare,1000,5e+07,0.105468,16.8444,1.77654,1,1.11111,14.3762,13.8176,2.62617e-05,50000,50028.2,3.53877e+07
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),7000 rideshare,1000,5e+08,0.105468,16.8444,1.77654,1,1.11111,14.3762,13.8176,2.62617e-05,500000,500028,3.53698e+08
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),7000 rideshare,10000,5e+07,0.105468,16.8444,1.77654,1,1.11111,14.3762,13.8176,2.62617e-05,5000,5028.19,3.55672e+06
