h_km,dh_km,beta,Es_c_kJ_kg,v_circ_m_s,dv_shift_m_s,dv_direct_m_s,dv_ratio_direct_over_shift,Es_design_619_kJ_kg,Es_design_direct_619_kJ_kg,v_max_safe_m_s,v_design_max_m_s,v_self_disposal_min_m_s,self_disposal_ok
1200,150,2.5,50,7255.92,36.3902,289.996,7.96908,9.01021,71.8031,6869.98,3434.99,289.996,True
1200,200,1,30,7255.92,48.7241,289.996,5.9518,30.1602,179.508,1231.42,615.711,289.996,True
1200,200,1,40,7255.92,48.7241,289.996,5.9518,30.1602,179.508,1641.9,820.948,289.996,True
1200,200,1,50,7255.92,48.7241,289.996,5.9518,30.1602,179.508,2052.37,1026.19,289.996,True
1200,200,1.5,30,7255.92,48.7241,289.996,5.9518,20.1068,119.672,1847.13,923.567,289.996,True
1200,200,1.5,40,7255.92,48.7241,289.996,5.9518,20.1068,119.672,2462.85,1231.42,289.996,True
1200,200,1.5,50,7255.92,48.7241,289.996,5.9518,20.1068,119.672,3078.56,1539.28,289.996,True
1200,200,2,30,7255.92,48.7241,289.996,5.9518,15.0801,89.7539,2462.85,1231.42,289.996,True
1200,200,2,40,7255.92,48.7241,289.996,5.9518,15.0801,89.7539,3283.79,1641.9,289.996,True
1200,200,2,50,7255.92,48.7241,289.996,5.9518,15.0801,89.7539,4104.74,2052.37,289.996,True
1200,200,2.5,30,7255.92,48.7241,289.996,5.9518,12.0641,71.8031,3078.56,1539.28,289.996,True
1200,200,2.5,40,7255.92,48.7241,289.996,5.9518,12.0641,71.8031,4104.74,2052.37,289.996,True
1200,200,2.5,50,7255.92,48.7241,289.996,5.9518,12.0641,71.8031,5130.93,2565.46,289.996,True
1200,250,1,30,7255.92,61.1623,289.996,4.74143,37.8594,179.508,980.997,490.499,289.996,True
1200,250,1,40,7255.92,61.1623,289.996,4.74143,37.8594,179.508,1308,653.998,289.996,True
1200,250,1,50,7255.92,61.1623,289.996,4.74143,37.8594,179.508,1635,817.498,289.996,True
1200,250,1.5,30,7255.92,61.1623,289.996,4.74143,25.2396,119.672,1471.5,735.748,289.996,True
1200,250,1.5,40,7255.92,61.1623,289.996,4.74143,25.2396,119.672,1961.99,980.997,289.996,True
1200,250,1.5,50,7255.92,61.1623,289.996,4.74143,25.2396,119.672,2452.49,1226.25,289.996,True
1200,250,2,30,7255.92,61.1623,289.996,4.74143,18.9297,89.7539,1961.99,980.997,289.996,True
1200,250,2,40,7255.92,61.1623,289.996,4.74143,18.9297,89.7539,2615.99,1308,289.996,True
1200,250,2,50,7255.92,61.1623,289.996,4.74143,18.9297,89.7539,3269.99,1635,289.996,True
1200,250,2.5,30,7255.92,61.1623,289.996,4.74143,15.1438,71.8031,2452.49,1226.25,289.996,True
1200,250,2.5,40,7255.92,61.1623,289.996,4.74143,15.1438,71.8031,3269.99,1635,289.996,True
1200,250,2.5,50,7255.92,61.1623,289.996,4.74143,15.1438,71.8031,4087.49,2043.74,289.996,True
