material,class_,safety_factor,wall_mm,barrel_mass_kg,hoop_stress_MPa
4340 steel,baseline,1.5,3.2028411465235527,1.3365925628145765,333.3333333333333
4340 steel,baseline,2.0,4.270454862031403,1.8495853934495496,250.0
Ti-6Al-4V,lightweight metal,1.5,1.7793561925130845,0.39789444430138027,600.0
Ti-6Al-4V,lightweight metal,2.0,2.3724749233507794,0.5422762031311817,450.0
Inconel 718,hot section,1.5,1.5547772555939574,0.6373762350758004,686.6666666666666
Inconel 718,hot section,2.0,2.073036340791943,0.8664208732952434,515.0
CF overwrap (T1000),filament wound,1.5,0.5338068577539253,0.04110747710006321,2000.0
CF overwrap (T1000),filament wound,2.0,0.7117424770052339,0.055191919792941725,1500.0
