L_m,v_muzzle,P_max_MPa,t_ms,KE_J,eff_pct,a_max_g,dv_per_0p1m
0.5,443.62695628266954,152.9302426921443,1.8788906747932503,9840.243817031282,22.632560779171943,48030.647468052324,0.0
0.6,459.8423329469372,152.9302426921443,2.1001331657233404,10572.748558504092,24.31732168455941,48030.647468052324,16.215376664267637
0.7,472.96295106421235,152.9302426921443,2.314455272813036,11184.697653968426,25.724804604127375,48030.647468052324,13.120618117275171
0.8,483.85532009061313,152.9302426921443,2.523420866812668,11705.798538999486,26.923336639698817,48030.647468052324,10.892369026400786
0.9,493.07177192534425,152.9302426921443,2.728099358574169,12155.988613479936,27.958773811003848,48030.647468052324,9.216451834731117
1.0,500.984898814471,152.9302426921443,2.9292603799903474,12549.293442007289,28.86337491661676,48030.647468052324,7.913126889126772
1.1,507.85728249307346,152.9302426921443,3.127479908148719,12895.95096906247,29.660687228843678,48030.647468052324,6.872383678602432
1.2,513.8805174721034,152.9302426921443,3.32320252352572,13203.65931186984,30.36841641730063,48030.647468052324,6.023234979029951
1.3,519.1984105729589,152.9302426921443,3.516780139508349,13478.34947707434,31.000203797270977,48030.647468052324,5.3178931008554855
1.4,523.9214372261144,152.9302426921443,3.7084971907055766,13724.68361925387,31.5667723242839,48030.647468052324,4.723026653155557
1.5,528.1361189619236,152.9302426921443,3.8985876864174505,13946.388007608155,32.07669241749875,48030.647468052324,4.214681735809108
1.6,531.9112956576787,152.9302426921443,4.087247138341588,14146.481322411524,32.5369070415465,48030.647468052324,3.7751766957551354
1.7,535.3023935377544,152.9302426921443,4.274641129335625,14327.432626362443,32.95309504063361,48030.647468052324,3.3910978800756766
1.8,538.3542625220822,152.9302426921443,4.460911675723953,14491.265598784752,33.329910877204924,48030.647468052324,3.0518689843278253
1.9,541.1024093047146,152.9302426921443,4.646182220824384,14639.590867768342,33.671058995867185,48030.647468052324,2.748146782632375
2.0,543.579043969981,152.9302426921443,4.83056124841133,14773.908852165923,33.97999035998162,48030.647468052324,2.476634665266374
