theta_deg,dh_offset_m,v_transverse_m_s,R_m,tof_s,tau_s,t_view_s,t_obs_s,sigma_pos_m,sigma_v_m_s,miss_no_lead_m,miss_with_lead_m,n_samples_in_view
0,100,0.0509152,100,0.161551,0.1,39281,10,5.5e-05,1.90526e-07,0.0133169,4.98321e-08,3.9281e+07
0,100,0.0509152,1000,1.61551,0.0001,392810,10,0.00055,1.90526e-06,0.0822591,3.07815e-06,3.9281e+08
0,100,0.0509152,1000,1.61551,0.001,392810,10,0.00055,1.90526e-06,0.0823049,3.07986e-06,3.9281e+08
0,100,0.0509152,1000,1.61551,0.005,392810,10,0.00055,1.90526e-06,0.0825086,3.08748e-06,3.9281e+08
0,100,0.0509152,1000,1.61551,0.01,392810,10,0.00055,1.90526e-06,0.0827632,3.09701e-06,3.9281e+08
0,100,0.0509152,1000,1.61551,0.05,392810,10,0.00055,1.90526e-06,0.0847998,3.17322e-06,3.9281e+08
0,100,0.0509152,1000,1.61551,0.1,392810,10,0.00055,1.90526e-06,0.0873455,3.26848e-06,3.9281e+08
0,1000,0.509152,1,0.00161551,0.0001,39.281,10,5.5e-07,1.90526e-09,0.000873455,3.26848e-12,39281
0,1000,0.509152,1,0.00161551,0.001,39.281,10,5.5e-07,1.90526e-09,0.00133169,4.98321e-12,39281
0,1000,0.509152,1,0.00161551,0.005,39.281,10,5.5e-07,1.90526e-09,0.0033683,1.26042e-11,39281
0,1000,0.509152,1,0.00161551,0.01,39.281,10,5.5e-07,1.90526e-09,0.00591406,2.21305e-11,39281
0,1000,0.509152,1,0.00161551,0.05,39.281,10,5.5e-07,1.90526e-09,0.0262802,9.83408e-11,39281
0,1000,0.509152,1,0.00161551,0.1,39.281,10,5.5e-07,1.90526e-09,0.0517378,1.93604e-10,39281
0,1000,0.509152,10,0.0161551,0.0001,392.81,10,5.5e-06,1.90526e-08,0.00827632,3.09701e-10,392810
0,1000,0.509152,10,0.0161551,0.001,392.81,10,5.5e-06,1.90526e-08,0.00873455,3.26848e-10,392810
0,1000,0.509152,10,0.0161551,0.005,392.81,10,5.5e-06,1.90526e-08,0.0107712,4.03059e-10,392810
0,1000,0.509152,10,0.0161551,0.01,392.81,10,5.5e-06,1.90526e-08,0.0133169,4.98321e-10,392810
0,1000,0.509152,10,0.0161551,0.05,392.81,10,5.5e-06,1.90526e-08,0.033683,1.26042e-09,392810
0,1000,0.509152,10,0.0161551,0.1,392.81,10,5.5e-06,1.90526e-08,0.0591406,2.21305e-09,392810
0,1000,0.509152,100,0.161551,0.0001,3928.1,10,5.5e-05,1.90526e-07,0.0823049,3.07986e-08,3.9281e+06
0,1000,0.509152,100,0.161551,0.001,3928.1,10,5.5e-05,1.90526e-07,0.0827632,3.09701e-08,3.9281e+06
0,1000,0.509152,100,0.161551,0.005,3928.1,10,5.5e-05,1.90526e-07,0.0847998,3.17322e-08,3.9281e+06
0,1000,0.509152,100,0.161551,0.01,3928.1,10,5.5e-05,1.90526e-07,0.0873455,3.26848e-08,3.9281e+06
0,1000,0.509152,100,0.161551,0.05,3928.1,10,5.5e-05,1.90526e-07,0.107712,4.03059e-08,3.9281e+06
0,1000,0.509152,100,0.161551,0.1,3928.1,10,5.5e-05,1.90526e-07,0.133169,4.98321e-08,3.9281e+06
0,1000,0.509152,1000,1.61551,0.0001,39281,10,0.00055,1.90526e-06,0.822591,3.07815e-06,3.9281e+07
0,1000,0.509152,1000,1.61551,0.001,39281,10,0.00055,1.90526e-06,0.823049,3.07986e-06,3.9281e+07
0,1000,0.509152,1000,1.61551,0.005,39281,10,0.00055,1.90526e-06,0.825086,3.08748e-06,3.9281e+07
0,1000,0.509152,1000,1.61551,0.01,39281,10,0.00055,1.90526e-06,0.827632,3.09701e-06,3.9281e+07
0,1000,0.509152,1000,1.61551,0.05,39281,10,0.00055,1.90526e-06,0.847998,3.17322e-06,3.9281e+07
0,1000,0.509152,1000,1.61551,0.1,39281,10,0.00055,1.90526e-06,0.873455,3.26848e-06,3.9281e+07
0,5000,2.54576,1,0.00161551,0.0001,7.8562,7.8562,5.5e-07,2.73612e-09,0.00436728,4.69383e-12,7856.2
0,5000,2.54576,1,0.00161551,0.001,7.8562,7.8562,5.5e-07,2.73612e-09,0.00665846,7.15634e-12,7856.2
0,5000,2.54576,1,0.00161551,0.005,7.8562,7.8562,5.5e-07,2.73612e-09,0.0168415,1.81008e-11,7856.2
0,5000,2.54576,1,0.00161551,0.01,7.8562,7.8562,5.5e-07,2.73612e-09,0.0295703,3.17814e-11,7856.2
0,5000,2.54576,1,0.00161551,0.05,7.8562,7.8562,5.5e-07,2.73612e-09,0.131401,1.41226e-10,7856.2
0,5000,2.54576,1,0.00161551,0.1,7.8562,7.8562,5.5e-07,2.73612e-09,0.258689,2.78032e-10,7856.2
0,5000,2.54576,10,0.0161551,0.0001,78.562,10,5.5e-06,1.90526e-08,0.0413816,3.09701e-10,78562
0,5000,2.54576,10,0.0161551,0.001,78.562,10,5.5e-06,1.90526e-08,0.0436728,3.26848e-10,78562
0,5000,2.54576,10,0.0161551,0.005,78.562,10,5.5e-06,1.90526e-08,0.0538558,4.03059e-10,78562
0,5000,2.54576,10,0.0161551,0.01,78.562,10,5.5e-06,1.90526e-08,0.0665846,4.98321e-10,78562
0,5000,2.54576,10,0.0161551,0.05,78.562,10,5.5e-06,1.90526e-08,0.168415,1.26042e-09,78562
0,5000,2.54576,10,0.0161551,0.1,78.562,10,5.5e-06,1.90526e-08,0.295703,2.21305e-09,78562
0,5000,2.54576,100,0.161551,0.0001,785.62,10,5.5e-05,1.90526e-07,0.411525,3.07986e-08,785620
0,5000,2.54576,100,0.161551,0.001,785.62,10,5.5e-05,1.90526e-07,0.413816,3.09701e-08,785620
0,5000,2.54576,100,0.161551,0.005,785.62,10,5.5e-05,1.90526e-07,0.423999,3.17322e-08,785620
0,5000,2.54576,100,0.161551,0.01,785.62,10,5.5e-05,1.90526e-07,0.436728,3.26848e-08,785620
