theta_deg,dh_offset_m,v_transverse_m_s,R_m,tof_s,tau_s,t_view_s,t_obs_s,sigma_pos_m,sigma_v_m_s,miss_no_lead_m,miss_with_lead_m,n_samples_in_view
8.5,,1097.41,1000,1.61551,0.05,18.2247,10,0.00055,1.90526e-06,1827.75,3.17322e-06,18224.7
8.5,,1097.41,1000,1.61551,0.1,18.2247,10,0.00055,1.90526e-06,1882.62,3.26848e-06,18224.7
45,,5666.85,1,0.00161551,0.0001,0.0035293,0.0035293,5.5e-07,0.000287356,9.72153,4.92962e-07,3.5293
45,,5666.85,1,0.00161551,0.001,0.0035293,0.0035293,5.5e-07,0.000287356,14.8217,7.51583e-07,3.5293
45,,5666.85,1,0.00161551,0.005,0.0035293,0.0035293,5.5e-07,0.000287356,37.4891,1.90101e-06,3.5293
45,,5666.85,1,0.00161551,0.01,0.0035293,0.0035293,5.5e-07,0.000287356,65.8233,3.33779e-06,3.5293
45,,5666.85,1,0.00161551,0.05,0.0035293,0.0035293,5.5e-07,0.000287356,292.497,1.4832e-05,3.5293
45,,5666.85,1,0.00161551,0.1,0.0035293,0.0035293,5.5e-07,0.000287356,575.84,2.91998e-05,3.5293
45,,5666.85,10,0.0161551,0.0001,0.035293,0.035293,5.5e-06,9.087e-05,92.1151,1.4771e-06,35.293
45,,5666.85,10,0.0161551,0.001,0.035293,0.035293,5.5e-06,9.087e-05,97.2153,1.55888e-06,35.293
45,,5666.85,10,0.0161551,0.005,0.035293,0.035293,5.5e-06,9.087e-05,119.883,1.92236e-06,35.293
45,,5666.85,10,0.0161551,0.01,0.035293,0.035293,5.5e-06,9.087e-05,148.217,2.37671e-06,35.293
45,,5666.85,10,0.0161551,0.05,0.035293,0.035293,5.5e-06,9.087e-05,374.891,6.01151e-06,35.293
45,,5666.85,10,0.0161551,0.1,0.035293,0.035293,5.5e-06,9.087e-05,658.233,1.0555e-05,35.293
45,,5666.85,100,0.161551,0.0001,0.35293,0.35293,5.5e-05,2.87356e-05,916.051,4.64514e-06,352.93
45,,5666.85,100,0.161551,0.001,0.35293,0.35293,5.5e-05,2.87356e-05,921.151,4.671e-06,352.93
45,,5666.85,100,0.161551,0.005,0.35293,0.35293,5.5e-05,2.87356e-05,943.818,4.78594e-06,352.93
45,,5666.85,100,0.161551,0.01,0.35293,0.35293,5.5e-05,2.87356e-05,972.153,4.92962e-06,352.93
45,,5666.85,100,0.161551,0.05,0.35293,0.35293,5.5e-05,2.87356e-05,1198.83,6.07905e-06,352.93
45,,5666.85,100,0.161551,0.1,0.35293,0.35293,5.5e-05,2.87356e-05,1482.17,7.51583e-06,352.93
45,,5666.85,1000,1.61551,0.0001,3.5293,3.5293,0.00055,9.087e-06,9155.41,1.4681e-05,3529.3
45,,5666.85,1000,1.61551,0.001,3.5293,3.5293,0.00055,9.087e-06,9160.51,1.46892e-05,3529.3
45,,5666.85,1000,1.61551,0.005,3.5293,3.5293,0.00055,9.087e-06,9183.18,1.47256e-05,3529.3
45,,5666.85,1000,1.61551,0.01,3.5293,3.5293,0.00055,9.087e-06,9211.51,1.4771e-05,3529.3
45,,5666.85,1000,1.61551,0.05,3.5293,3.5293,0.00055,9.087e-06,9438.18,1.51345e-05,3529.3
45,,5666.85,1000,1.61551,0.1,3.5293,3.5293,0.00055,9.087e-06,9721.53,1.55888e-05,3529.3
