v_target,v_actual,n_stages,length_m,E_stored_kJ,eta_pct,KE_J,m_cap_kg,m_cu_kg,a_max_g,B_peak_T,recoil_Ns,charge_s_at_5kW
300.0,308.1011627420498,18,0.792,25.103028964483183,18.90734512900989,4746.3163241501525,16.73535264298879,3.1981393107351113,49645.889685499045,9.867723791070555,30.81011627420498,5.578450880996264
400.0,407.3447495463774,31,1.364,42.25960790900408,19.63219173025585,8296.487249150046,28.173071939336054,5.507906590710469,49689.076091500705,9.8720147695667,40.73447495463774,9.391023979778684
500.0,500.14772600545393,44,1.9360000000000002,62.41230718051269,20.03993756431196,12507.387391421333,41.60820478700846,7.8176738706858275,49689.076091500705,9.8720147695667,50.0147726005454,13.869401595669487
619.0,623.382362508374,67,2.9480000000000004,95.32215697274641,20.383800693768823,19430.27849432609,63.548104648497606,11.904185212180693,49689.076091500705,9.8720147695667,62.3382362508374,21.1827015494992
700.0,700.8061588853499,83,3.6520000000000006,119.58457608373368,20.53480843498359,24556.463616581914,79.72305072248912,14.746975710611903,49689.076091500705,9.8720147695667,70.080615888535,26.57435024082971
