h_km,beta,v_rel_m_s,Es_c_kJ_kg,m_p_g,Es_kJ_kg,catastrophic,M_eff_kg,N_gt_1cm_SBM,N_gt_1mm_SBM,ejecta_g_gault,crater_volume_mm3,ejecta_g_energy_bound,ejecta_frac_of_target,KE_J
400,2.5,800,50,0.0816057,18.4718,False,6.52846e-05,0.191033,9.79734,0.652846,52.2277,0.141015,0.0997475,26.1138
400,2.5,800,40,0.0816057,18.4718,False,6.52846e-05,0.191033,9.79734,0.652846,52.2277,0.141015,0.0997475,26.1138
400,2.5,1000,30,0.0652846,23.0897,False,6.52846e-05,0.191033,9.79734,0.652846,65.2846,0.176268,0.124684,32.6423
400,2.5,1000,50,0.0652846,23.0897,False,6.52846e-05,0.191033,9.79734,0.652846,65.2846,0.176268,0.124684,32.6423
400,2.5,1000,40,0.0652846,23.0897,False,6.52846e-05,0.191033,9.79734,0.652846,65.2846,0.176268,0.124684,32.6423
400,2.5,1500,30,0.0435231,34.6346,True,0.00145724,1.96177,100.612,0.652846,97.9269,0.264403,0.187027,48.9634
400,2.5,1500,50,0.0435231,34.6346,False,6.52846e-05,0.191033,9.79734,0.652846,97.9269,0.264403,0.187027,48.9634
400,2.5,1500,40,0.0435231,34.6346,False,6.52846e-05,0.191033,9.79734,0.652846,97.9269,0.264403,0.187027,48.9634
400,2.5,2000,30,0.0326423,46.1794,True,0.00144636,1.95077,100.048,0.652846,130.569,0.352537,0.249369,65.2846
400,2.5,2000,50,0.0326423,46.1794,False,6.52846e-05,0.191033,9.79734,0.652846,130.569,0.352537,0.249369,65.2846
400,2.5,2000,40,0.0326423,46.1794,True,0.00144636,1.95077,100.048,0.652846,130.569,0.352537,0.249369,65.2846
500,1,400,30,0.399044,22.5813,False,0.000159618,0.373517,19.1563,1.59618,63.8471,0.172387,0.121939,31.9235
500,1,400,50,0.399044,22.5813,False,0.000159618,0.373517,19.1563,1.59618,63.8471,0.172387,0.121939,31.9235
500,1,400,40,0.399044,22.5813,False,0.000159618,0.373517,19.1563,1.59618,63.8471,0.172387,0.121939,31.9235
500,1,619,30,0.257864,34.9445,True,0.00167158,2.17443,111.518,1.59618,98.8033,0.266769,0.1887,49.4017
500,1,619,50,0.257864,34.9445,False,0.000159618,0.373517,19.1563,1.59618,98.8033,0.266769,0.1887,49.4017
500,1,619,40,0.257864,34.9445,False,0.000159618,0.373517,19.1563,1.59618,98.8033,0.266769,0.1887,49.4017
500,1,800,30,0.199522,45.1626,True,0.00161324,2.11726,108.586,1.59618,127.694,0.344774,0.243878,63.8471
500,1,800,50,0.199522,45.1626,False,0.000159618,0.373517,19.1563,1.59618,127.694,0.344774,0.243878,63.8471
500,1,800,40,0.199522,45.1626,True,0.00161324,2.11726,108.586,1.59618,127.694,0.344774,0.243878,63.8471
500,1,1000,30,0.159618,56.4532,True,0.00157333,2.07786,106.565,1.59618,159.618,0.430968,0.304847,79.8088
500,1,1000,50,0.159618,56.4532,True,0.00157333,2.07786,106.565,1.59618,159.618,0.430968,0.304847,79.8088
500,1,1000,40,0.159618,56.4532,True,0.00157333,2.07786,106.565,1.59618,159.618,0.430968,0.304847,79.8088
500,1,1500,30,0.106412,84.6798,True,0.00152013,2.02493,103.851,1.59618,239.426,0.646452,0.457271,119.713
500,1,1500,50,0.106412,84.6798,True,0.00152013,2.02493,103.851,1.59618,239.426,0.646452,0.457271,119.713
500,1,1500,40,0.106412,84.6798,True,0.00152013,2.02493,103.851,1.59618,239.426,0.646452,0.457271,119.713
500,1,2000,30,0.0798088,112.906,True,0.00149353,1.99829,102.485,1.59618,319.235,0.861935,0.609695,159.618
500,1,2000,50,0.0798088,112.906,True,0.00149353,1.99829,102.485,1.59618,319.235,0.861935,0.609695,159.618
500,1,2000,40,0.0798088,112.906,True,0.00149353,1.99829,102.485,1.59618,319.235,0.861935,0.609695,159.618
500,1.5,400,30,0.266029,15.0542,False,0.000106412,0.275577,14.1333,1.06412,42.5647,0.114925,0.0812926,21.2824
500,1.5,400,50,0.266029,15.0542,False,0.000106412,0.275577,14.1333,1.06412,42.5647,0.114925,0.0812926,21.2824
500,1.5,400,40,0.266029,15.0542,False,0.000106412,0.275577,14.1333,1.06412,42.5647,0.114925,0.0812926,21.2824
500,1.5,619,30,0.171909,23.2964,False,0.000106412,0.275577,14.1333,1.06412,65.8689,0.177846,0.1258,32.9344
