h_km,v_rel_m_s,R_m,tof_s,dv_T_m_s,n_rad_s,n_times_tof,sigma_cw_m,sigma_ballistic_m,cw_over_ballistic,along_track_cw_m
1000,400,5,0.0125,1,0.000997652,1.24707e-05,0.0125,0.0125,1,9.7198e-13
1000,400,5,0.0125,3,0.000997652,1.24707e-05,0.0375,0.0375,1,2.91594e-12
1000,400,10,0.025,0.001,0.000997652,2.49413e-05,2.5e-05,2.5e-05,1,7.77586e-15
1000,400,10,0.025,0.01,0.000997652,2.49413e-05,0.00025,0.00025,1,7.77586e-14
1000,400,10,0.025,0.1,0.000997652,2.49413e-05,0.0025,0.0025,1,7.77586e-13
1000,400,10,0.025,0.3,0.000997652,2.49413e-05,0.0075,0.0075,1,2.33276e-12
1000,400,10,0.025,1,0.000997652,2.49413e-05,0.025,0.025,1,7.77586e-12
1000,400,10,0.025,3,0.000997652,2.49413e-05,0.075,0.075,1,2.33276e-11
1000,400,50,0.125,0.001,0.000997652,0.000124707,0.000125,0.000125,1,9.71983e-13
1000,400,50,0.125,0.01,0.000997652,0.000124707,0.00125,0.00125,1,9.71983e-12
1000,400,50,0.125,0.1,0.000997652,0.000124707,0.0125,0.0125,1,9.71983e-11
1000,400,50,0.125,0.3,0.000997652,0.000124707,0.0375,0.0375,1,2.91595e-10
1000,400,50,0.125,1,0.000997652,0.000124707,0.125,0.125,1,9.71983e-10
1000,400,50,0.125,3,0.000997652,0.000124707,0.375,0.375,1,2.91595e-09
1000,400,100,0.25,0.001,0.000997652,0.000249413,0.00025,0.00025,1,7.77586e-12
1000,400,100,0.25,0.01,0.000997652,0.000249413,0.0025,0.0025,1,7.77586e-11
1000,400,100,0.25,0.1,0.000997652,0.000249413,0.025,0.025,1,7.77586e-10
1000,400,100,0.25,0.3,0.000997652,0.000249413,0.075,0.075,1,2.33276e-09
1000,400,100,0.25,1,0.000997652,0.000249413,0.25,0.25,1,7.77586e-09
1000,400,100,0.25,3,0.000997652,0.000249413,0.75,0.75,1,2.33276e-08
1000,619,1,0.00161551,0.001,0.000997652,1.61172e-06,1.61551e-06,1.61551e-06,1,2.09816e-18
1000,619,1,0.00161551,0.01,0.000997652,1.61172e-06,1.61551e-05,1.61551e-05,1,2.09816e-17
1000,619,1,0.00161551,0.1,0.000997652,1.61172e-06,0.000161551,0.000161551,1,2.09816e-16
1000,619,1,0.00161551,0.3,0.000997652,1.61172e-06,0.000484653,0.000484653,1,6.29447e-16
1000,619,1,0.00161551,1,0.000997652,1.61172e-06,0.00161551,0.00161551,1,2.09816e-15
1000,619,1,0.00161551,3,0.000997652,1.61172e-06,0.00484653,0.00484653,1,6.29447e-15
1000,619,5,0.00807754,0.001,0.000997652,8.05858e-06,8.07754e-06,8.07754e-06,1,2.62283e-16
1000,619,5,0.00807754,0.01,0.000997652,8.05858e-06,8.07754e-05,8.07754e-05,1,2.62283e-15
1000,619,5,0.00807754,0.1,0.000997652,8.05858e-06,0.000807754,0.000807754,1,2.62283e-14
1000,619,5,0.00807754,0.3,0.000997652,8.05858e-06,0.00242326,0.00242326,1,7.86849e-14
1000,619,5,0.00807754,1,0.000997652,8.05858e-06,0.00807754,0.00807754,1,2.62283e-13
1000,619,5,0.00807754,3,0.000997652,8.05858e-06,0.0242326,0.0242326,1,7.86849e-13
1000,619,10,0.0161551,0.001,0.000997652,1.61172e-05,1.61551e-05,1.61551e-05,1,2.09824e-15
1000,619,10,0.0161551,0.01,0.000997652,1.61172e-05,0.000161551,0.000161551,1,2.09824e-14
1000,619,10,0.0161551,0.1,0.000997652,1.61172e-05,0.00161551,0.00161551,1,2.09824e-13
1000,619,10,0.0161551,0.3,0.000997652,1.61172e-05,0.00484653,0.00484653,1,6.29473e-13
1000,619,10,0.0161551,1,0.000997652,1.61172e-05,0.0161551,0.0161551,1,2.09824e-12
1000,619,10,0.0161551,3,0.000997652,1.61172e-05,0.0484653,0.0484653,1,6.29473e-12
1000,619,50,0.0807754,0.001,0.000997652,8.05858e-05,8.07754e-05,8.07754e-05,1,2.62281e-13
1000,619,50,0.0807754,0.01,0.000997652,8.05858e-05,0.000807754,0.000807754,1,2.62281e-12
1000,619,50,0.0807754,0.1,0.000997652,8.05858e-05,0.00807754,0.00807754,1,2.62281e-11
1000,619,50,0.0807754,0.3,0.000997652,8.05858e-05,0.0242326,0.0242326,1,7.86843e-11
1000,619,50,0.0807754,1,0.000997652,8.05858e-05,0.0807754,0.0807754,1,2.62281e-10
1000,619,50,0.0807754,3,0.000997652,8.05858e-05,0.242326,0.242326,1,7.86843e-10
1000,619,100,0.161551,0.001,0.000997652,0.000161172,0.000161551,0.000161551,1,2.09825e-12
1000,619,100,0.161551,0.01,0.000997652,0.000161172,0.00161551,0.00161551,1,2.09825e-11
1000,619,100,0.161551,0.1,0.000997652,0.000161172,0.0161551,0.0161551,1,2.09825e-10
1000,619,100,0.161551,0.3,0.000997652,0.000161172,0.0484653,0.0484653,1,6.29474e-10
1000,619,100,0.161551,1,0.000997652,0.000161172,0.161551,0.161551,1,2.09825e-09
1000,619,100,0.161551,3,0.000997652,0.000161172,0.484653,0.484653,1,6.29474e-09
1000,1000,1,0.001,0.001,0.000997652,9.97652e-07,1e-06,1e-06,1,4.97954e-19
1000,1000,1,0.001,0.01,0.000997652,9.97652e-07,1e-05,1e-05,1,4.97954e-18
1000,1000,1,0.001,0.1,0.000997652,9.97652e-07,0.0001,0.0001,1,4.97954e-17
1000,1000,1,0.001,0.3,0.000997652,9.97652e-07,0.0003,0.0003,1,1.49386e-16
1000,1000,1,0.001,1,0.000997652,9.97652e-07,0.001,0.001,1,4.97954e-16
1000,1000,1,0.001,3,0.000997652,9.97652e-07,0.003,0.003,1,1.49386e-15
1000,1000,5,0.005,0.001,0.000997652,4.98826e-06,5e-06,5e-06,1,6.22073e-17
1000,1000,5,0.005,0.01,0.000997652,4.98826e-06,5e-05,5e-05,1,6.22073e-16
1000,1000,5,0.005,0.1,0.000997652,4.98826e-06,0.0005,0.0005,1,6.22073e-15
1000,1000,5,0.005,0.3,0.000997652,4.98826e-06,0.0015,0.0015,1,1.86622e-14
1000,1000,5,0.005,1,0.000997652,4.98826e-06,0.005,0.005,1,6.22073e-14
1000,1000,5,0.005,3,0.000997652,4.98826e-06,0.015,0.015,1,1.86622e-13
1000,1000,10,0.01,0.001,0.000997652,9.97652e-06,1e-05,1e-05,1,4.97653e-16
1000,1000,10,0.01,0.01,0.000997652,9.97652e-06,0.0001,0.0001,1,4.97653e-15
1000,1000,10,0.01,0.1,0.000997652,9.97652e-06,0.001,0.001,1,4.97653e-14
1000,1000,10,0.01,0.3,0.000997652,9.97652e-06,0.003,0.003,1,1.49296e-13
1000,1000,10,0.01,1,0.000997652,9.97652e-06,0.01,0.01,1,4.97653e-13
1000,1000,10,0.01,3,0.000997652,9.97652e-06,0.03,0.03,1,1.49296e-12
1000,1000,50,0.05,0.001,0.000997652,4.98826e-05,5e-05,5e-05,1,6.22069e-14
1000,1000,50,0.05,0.01,0.000997652,4.98826e-05,0.0005,0.0005,1,6.22069e-13
1000,1000,50,0.05,0.1,0.000997652,4.98826e-05,0.005,0.005,1,6.22069e-12
1000,1000,50,0.05,0.3,0.000997652,4.98826e-05,0.015,0.015,1,1.86621e-11
1000,1000,50,0.05,1,0.000997652,4.98826e-05,0.05,0.05,1,6.22069e-11
1000,1000,50,0.05,3,0.000997652,4.98826e-05,0.15,0.15,1,1.86621e-10
1000,1000,100,0.1,0.001,0.000997652,9.97652e-05,0.0001,0.0001,1,4.97655e-13
1000,1000,100,0.1,0.01,0.000997652,9.97652e-05,0.001,0.001,1,4.97655e-12
1000,1000,100,0.1,0.1,0.000997652,9.97652e-05,0.01,0.01,1,4.97655e-11
1000,1000,100,0.1,0.3,0.000997652,9.97652e-05,0.03,0.03,1,1.49297e-10
1000,1000,100,0.1,1,0.000997652,9.97652e-05,0.1,0.1,1,4.97655e-10
1000,1000,100,0.1,3,0.000997652,9.97652e-05,0.3,0.3,1,1.49297e-09
