h_km,v_rel_m_s,R_m,tof_s,dv_T_m_s,n_rad_s,n_times_tof,sigma_cw_m,sigma_ballistic_m,cw_over_ballistic,along_track_cw_m
400,619,100,0.161551,0.01,0.00113316,0.000183062,0.00161551,0.00161551,1,2.70693e-11
400,619,100,0.161551,0.1,0.00113316,0.000183062,0.0161551,0.0161551,1,2.70693e-10
400,619,100,0.161551,0.3,0.00113316,0.000183062,0.0484653,0.0484653,1,8.1208e-10
400,619,100,0.161551,1,0.00113316,0.000183062,0.161551,0.161551,1,2.70693e-09
400,619,100,0.161551,3,0.00113316,0.000183062,0.484653,0.484653,1,8.1208e-09
400,1000,1,0.001,0.001,0.00113316,1.13316e-06,1e-06,1e-06,1,6.41915e-19
400,1000,1,0.001,0.01,0.00113316,1.13316e-06,1e-05,1e-05,1,6.41915e-18
400,1000,1,0.001,0.1,0.00113316,1.13316e-06,0.0001,0.0001,1,6.41915e-17
400,1000,1,0.001,0.3,0.00113316,1.13316e-06,0.0003,0.0003,1,1.92574e-16
400,1000,1,0.001,1,0.00113316,1.13316e-06,0.001,0.001,1,6.41915e-16
400,1000,1,0.001,3,0.00113316,1.13316e-06,0.003,0.003,1,1.92574e-15
400,1000,5,0.005,0.001,0.00113316,5.66578e-06,5e-06,5e-06,1,8.02522e-17
400,1000,5,0.005,0.01,0.00113316,5.66578e-06,5e-05,5e-05,1,8.02522e-16
400,1000,5,0.005,0.1,0.00113316,5.66578e-06,0.0005,0.0005,1,8.02522e-15
400,1000,5,0.005,0.3,0.00113316,5.66578e-06,0.0015,0.0015,1,2.40757e-14
400,1000,5,0.005,1,0.00113316,5.66578e-06,0.005,0.005,1,8.02522e-14
400,1000,5,0.005,3,0.00113316,5.66578e-06,0.015,0.015,1,2.40757e-13
400,1000,10,0.01,0.001,0.00113316,1.13316e-05,1e-05,1e-05,1,6.42022e-16
400,1000,10,0.01,0.01,0.00113316,1.13316e-05,0.0001,0.0001,1,6.42022e-15
400,1000,10,0.01,0.1,0.00113316,1.13316e-05,0.001,0.001,1,6.42022e-14
400,1000,10,0.01,0.3,0.00113316,1.13316e-05,0.003,0.003,1,1.92607e-13
400,1000,10,0.01,1,0.00113316,1.13316e-05,0.01,0.01,1,6.42022e-13
400,1000,10,0.01,3,0.00113316,1.13316e-05,0.03,0.03,1,1.92607e-12
400,1000,50,0.05,0.001,0.00113316,5.66578e-05,5e-05,5e-05,1,8.02526e-14
400,1000,50,0.05,0.01,0.00113316,5.66578e-05,0.0005,0.0005,1,8.02526e-13
400,1000,50,0.05,0.1,0.00113316,5.66578e-05,0.005,0.005,1,8.02526e-12
400,1000,50,0.05,0.3,0.00113316,5.66578e-05,0.015,0.015,1,2.40758e-11
400,1000,50,0.05,1,0.00113316,5.66578e-05,0.05,0.05,1,8.02526e-11
400,1000,50,0.05,3,0.00113316,5.66578e-05,0.15,0.15,1,2.40758e-10
400,1000,100,0.1,0.001,0.00113316,0.000113316,0.0001,0.0001,1,6.42021e-13
400,1000,100,0.1,0.01,0.00113316,0.000113316,0.001,0.001,1,6.42021e-12
400,1000,100,0.1,0.1,0.00113316,0.000113316,0.01,0.01,1,6.42021e-11
400,1000,100,0.1,0.3,0.00113316,0.000113316,0.03,0.03,1,1.92606e-10
400,1000,100,0.1,1,0.00113316,0.000113316,0.1,0.1,1,6.42021e-10
400,1000,100,0.1,3,0.00113316,0.000113316,0.3,0.3,1,1.92606e-09
600,400,1,0.0025,0.001,0.00108474,2.71185e-06,2.5e-06,2.5e-06,1,9.1923e-18
600,400,1,0.0025,0.01,0.00108474,2.71185e-06,2.5e-05,2.5e-05,1,9.1923e-17
600,400,1,0.0025,0.1,0.00108474,2.71185e-06,0.00025,0.00025,1,9.1923e-16
600,400,1,0.0025,0.3,0.00108474,2.71185e-06,0.00075,0.00075,1,2.75769e-15
600,400,1,0.0025,1,0.00108474,2.71185e-06,0.0025,0.0025,1,9.1923e-15
600,400,1,0.0025,3,0.00108474,2.71185e-06,0.0075,0.0075,1,2.75769e-14
600,400,5,0.0125,0.001,0.00108474,1.35593e-05,1.25e-05,1.25e-05,1,1.14908e-15
600,400,5,0.0125,0.01,0.00108474,1.35593e-05,0.000125,0.000125,1,1.14908e-14
600,400,5,0.0125,0.1,0.00108474,1.35593e-05,0.00125,0.00125,1,1.14908e-13
600,400,5,0.0125,0.3,0.00108474,1.35593e-05,0.00375,0.00375,1,3.44725e-13
600,400,5,0.0125,1,0.00108474,1.35593e-05,0.0125,0.0125,1,1.14908e-12
600,400,5,0.0125,3,0.00108474,1.35593e-05,0.0375,0.0375,1,3.44725e-12
600,400,10,0.025,0.001,0.00108474,2.71185e-05,2.5e-05,2.5e-05,1,9.19269e-15
600,400,10,0.025,0.01,0.00108474,2.71185e-05,0.00025,0.00025,1,9.19269e-14
600,400,10,0.025,0.1,0.00108474,2.71185e-05,0.0025,0.0025,1,9.19269e-13
600,400,10,0.025,0.3,0.00108474,2.71185e-05,0.0075,0.0075,1,2.75781e-12
600,400,10,0.025,1,0.00108474,2.71185e-05,0.025,0.025,1,9.19269e-12
600,400,10,0.025,3,0.00108474,2.71185e-05,0.075,0.075,1,2.75781e-11
600,400,50,0.125,0.001,0.00108474,0.000135593,0.000125,0.000125,1,1.14909e-12
600,400,50,0.125,0.01,0.00108474,0.000135593,0.00125,0.00125,1,1.14909e-11
600,400,50,0.125,0.1,0.00108474,0.000135593,0.0125,0.0125,1,1.14909e-10
600,400,50,0.125,0.3,0.00108474,0.000135593,0.0375,0.0375,1,3.44726e-10
600,400,50,0.125,1,0.00108474,0.000135593,0.125,0.125,1,1.14909e-09
600,400,50,0.125,3,0.00108474,0.000135593,0.375,0.375,1,3.44726e-09
600,400,100,0.25,0.001,0.00108474,0.000271185,0.00025,0.00025,1,9.19269e-12
600,400,100,0.25,0.01,0.00108474,0.000271185,0.0025,0.0025,1,9.19269e-11
600,400,100,0.25,0.1,0.00108474,0.000271185,0.025,0.025,1,9.19269e-10
600,400,100,0.25,0.3,0.00108474,0.000271185,0.075,0.075,1,2.75781e-09
600,400,100,0.25,1,0.00108474,0.000271185,0.25,0.25,1,9.19269e-09
600,400,100,0.25,3,0.00108474,0.000271185,0.75,0.75,1,2.75781e-08
600,619,1,0.00161551,0.001,0.00108474,1.75241e-06,1.61551e-06,1.61551e-06,1,2.4808e-18
600,619,1,0.00161551,0.01,0.00108474,1.75241e-06,1.61551e-05,1.61551e-05,1,2.4808e-17
600,619,1,0.00161551,0.1,0.00108474,1.75241e-06,0.000161551,0.000161551,1,2.4808e-16
600,619,1,0.00161551,0.3,0.00108474,1.75241e-06,0.000484653,0.000484653,1,7.44239e-16
600,619,1,0.00161551,1,0.00108474,1.75241e-06,0.00161551,0.00161551,1,2.4808e-15
600,619,1,0.00161551,3,0.00108474,1.75241e-06,0.00484653,0.00484653,1,7.44239e-15
600,619,5,0.00807754,0.001,0.00108474,8.76205e-06,8.07754e-06,8.07754e-06,1,3.10069e-16
600,619,5,0.00807754,0.01,0.00108474,8.76205e-06,8.07754e-05,8.07754e-05,1,3.10069e-15
600,619,5,0.00807754,0.1,0.00108474,8.76205e-06,0.000807754,0.000807754,1,3.10069e-14
