propellant,charge_g,v,P_max_MPa,v_per_MPa,burnt,eff_pct,under_cap
Retumbo,10.592356560686742,400.00000000000034,79.90137431971525,5.006171713636,0.4741708149357118,17.030408278764543,True
H1000,9.243177387872835,400.0000000000002,87.26908950741863,4.583524387131331,0.5555278315760668,19.90657457698589,True
IMR 4350,8.847976662525337,400.000000000001,90.42392025842572,4.423608253842865,0.588992886538611,21.220117231551253,True
Varget,7.55794698104692,400.0000000000032,101.80172565796475,3.9292064787185463,0.6818134316101861,24.59114708328423,False
