d_debris_cm,solar_case,h_km,n,P_viable_design,P_viable_plan,P_viable_objcost,P_viable_useful,P_c5_cost_per_object,P_c6_remediation_value,median_t_natural_yr,P_c1_subcatastrophic,P_c2_plan_phit,P_c2_design_mass,P_c3_decay,P_c4_net_debris,P_c5_cost,P_self_disposal,median_cost_per_kg,median_cost_per_object,median_m_shot_g,median_d_miss_mm,median_t_decay_yr
1,solar_min,1000,7407,0,0,0,0,0.64385,0,10000,0.886189,0.257054,0.980829,0,0.886189,0,1,1.99769e+07,28231.7,83.717,39.7003,10000
1,solar_min,1100,7407,0,0,0,0,0.643715,0,10000,0.893479,0.260699,0.983529,0,0.893479,0,1,1.99283e+07,28043.2,84.8915,40.2946,10000
1,solar_min,1200,7407,0,0,0,0,0.63062,0,10000,0.897664,0.252194,0.982584,0,0.897664,0,1,2.14138e+07,30231,78.9634,39.6887,10000
1,nominal,400,7407,0,0,0.521534,0,0.651816,0,0.0624484,0.813015,0.248144,0.978264,1,0.813015,0,1,1.85594e+07,26259.2,99.6832,40.0258,0.00370759
1,nominal,500,7407,0,0,0.533549,0,0.651006,0,0.346035,0.832321,0.266235,0.980694,1,0.832321,0,1,1.82102e+07,25789.9,92.792,39.39,0.0399984
1,nominal,600,7407,0,0,0.535844,0,0.649386,0,1.5928,0.848522,0.255839,0.980019,1,0.848522,0,1,1.88636e+07,26622,89.8419,39.2096,0.248409
1,nominal,700,7407,0,0,0.55272,0,0.655596,0,6.37355,0.857432,0.254624,0.981099,1,0.857432,0,1,1.81969e+07,25816.7,88.7863,39.2662,1.20542
1,nominal,800,7407,0,0,0.55407,0,0.652491,0,22.0001,0.872688,0.256514,0.980019,1,0.872688,0,1,1.83816e+07,26058.7,88.8044,39.6988,5.03323
1,nominal,900,7407,0,0,0.510868,0.510868,0.642905,0.926556,63.5258,0.876333,0.255299,0.981774,0.926556,0.876333,0,1,1.91683e+07,27119.5,85.2612,39.9158,18.2435
1,nominal,1000,7407,0,0,0,0,0.657891,0,151.235,0.886729,0.253004,0.983259,0,0.886729,0,1,1.77077e+07,25075.3,79.7975,39.6249,54.9124
1,nominal,1100,7407,0,0,0,0,0.658431,0,10000,0.896854,0.256244,0.982179,0,0.896854,0,1,1.76917e+07,24867,81.1635,39.4465,136.974
1,nominal,1200,7407,0,0,0,0,0.645471,0,10000,0.908735,0.252734,0.985959,0,0.908735,0,1,1.95077e+07,27652,82.7911,40.3172,10000
