d_target_cm,m_target_kg,d_cloud_cm,eps,m_launch_kg,launch_frac_of_target,kg_removed_per_kg_launched,dv_per_gram_launched,A_over_m
4.37236,0.118171,2,0.999999,0.016474,0.139408,7.17316,6.28947,0.0127061
4.37236,0.118171,5,0.89881,0.0183287,0.155103,6.44732,5.65304,0.0127061
4.37236,0.118171,10,0.435993,0.0377851,0.319749,3.12745,2.74217,0.0127061
4.87308,0.163596,2,1,0.0228067,0.139408,7.17317,4.5431,0.0114005
4.87308,0.163596,5,0.941893,0.0242137,0.148009,6.75636,4.27911,0.0114005
4.87308,0.163596,10,0.509027,0.0448044,0.273872,3.65134,2.31256,0.0114005
5.43114,0.226483,2,1,0.0315736,0.139408,7.17317,3.28164,0.0102291
5.43114,0.226483,5,0.970827,0.0325224,0.143598,6.9639,3.1859,0.0102291
5.43114,0.226483,10,0.586718,0.0538139,0.237607,4.20863,1.92539,0.0102291
6.0531,0.313543,2,1,0.0437105,0.139408,7.17317,2.37044,0.00917803
6.0531,0.313543,5,0.987604,0.0442591,0.141158,7.08425,2.34105,0.00917803
6.0531,0.313543,10,0.666328,0.0655991,0.209219,4.77968,1.57949,0.00917803
6.7463,0.434069,2,1,0.0605129,0.139408,7.17317,1.71225,0.00823497
6.7463,0.434069,5,0.995719,0.060773,0.140008,7.14246,1.70492,0.00823497
6.7463,0.434069,10,0.744206,0.081312,0.187325,5.33831,1.27426,0.00823497
7.51887,0.600925,2,1,0.0837741,0.139408,7.17317,1.23681,0.00738881
7.51887,0.600925,5,0.998857,0.0838699,0.139568,7.16497,1.2354,0.00738881
7.51887,0.600925,10,0.81613,0.102648,0.170816,5.85424,1.0094,0.00738881
8.37992,0.831922,2,1,0.115977,0.139408,7.17317,0.893393,0.0066296
8.37992,0.831922,5,0.999778,0.116003,0.139439,7.17158,0.893195,0.0066296
8.37992,0.831922,10,0.877986,0.132094,0.158782,6.29794,0.784386,0.0066296
9.33958,1.15171,2,1,0.160559,0.139408,7.17317,0.645328,0.0059484
9.33958,1.15171,5,0.999971,0.160563,0.139412,7.17296,0.64531,0.0059484
9.33958,1.15171,10,0.926686,0.173261,0.150438,6.64728,0.598017,0.0059484
10.4091,1.59443,2,1,0.222277,0.139408,7.17317,0.466143,0.00533719
10.4091,1.59443,5,0.999998,0.222278,0.139409,7.17315,0.466142,0.00533719
10.4091,1.59443,10,0.961061,0.231283,0.145057,6.89385,0.447991,0.00533719
11.6012,2.20734,2,1,0.307721,0.139408,7.17317,0.336711,0.00478879
11.6012,2.20734,5,1,0.307721,0.139408,7.17317,0.336711,0.00478879
11.6012,2.20734,10,0.982256,0.31328,0.141927,7.04589,0.330736,0.00478879
12.9297,3.05584,2,1,0.426009,0.139408,7.17317,0.243218,0.00429673
12.9297,3.05584,5,1,0.426009,0.139408,7.17317,0.243218,0.00429673
12.9297,3.05584,10,0.993316,0.428876,0.140347,7.12522,0.241592,0.00429673
14.4104,4.2305,2,1,0.589768,0.139408,7.17317,0.175684,0.00385524
14.4104,4.2305,5,1,0.589768,0.139408,7.17317,0.175684,0.00385524
14.4104,4.2305,10,0.998012,0.590943,0.139686,7.15891,0.175335,0.00385524
16.0607,5.85672,2,1,0.816475,0.139408,7.17317,0.126903,0.0034591
16.0607,5.85672,5,1,0.816475,0.139408,7.17317,0.126903,0.0034591
16.0607,5.85672,10,0.999559,0.816835,0.13947,7.17001,0.126847,0.0034591
17.8999,8.10804,2,1,1.13033,0.139408,7.17317,0.0916662,0.00310368
17.8999,8.10804,5,1,1.13033,0.139408,7.17317,0.0916662,0.00310368
17.8999,8.10804,10,0.999932,1.13041,0.139418,7.17268,0.09166,0.00310368
19.9498,11.2248,2,1,1.56483,0.139408,7.17317,0.0662136,0.00278477
19.9498,11.2248,5,1,1.56483,0.139408,7.17317,0.0662136,0.00278477
19.9498,11.2248,10,0.999993,1.56484,0.139409,7.17312,0.0662132,0.00278477
22.2344,15.5396,2,1,2.16635,0.139408,7.17317,0.0478283,0.00249863
22.2344,15.5396,5,1,2.16635,0.139408,7.17317,0.0478283,0.00249863
22.2344,15.5396,10,1,2.16635,0.139408,7.17317,0.0478283,0.00249863
24.7807,21.513,2,1,2.9991,0.139408,7.17317,0.034548,0.00224189
24.7807,21.513,5,1,2.9991,0.139408,7.17317,0.034548,0.00224189
24.7807,21.513,10,1,2.9991,0.139408,7.17317,0.034548,0.00224189
27.6185,29.7827,2,1,4.15196,0.139408,7.17317,0.0249552,0.00201153
27.6185,29.7827,5,1,4.15196,0.139408,7.17317,0.0249552,0.00201153
27.6185,29.7827,10,1,4.15196,0.139408,7.17317,0.0249552,0.00201153
30.7814,41.2312,2,1,5.74797,0.139408,7.17317,0.018026,0.00180484
30.7814,41.2312,5,1,5.74797,0.139408,7.17317,0.018026,0.00180484
30.7814,41.2312,10,1,5.74797,0.139408,7.17317,0.018026,0.00180484
34.3064,57.0805,2,1,7.9575,0.139408,7.17317,0.0130208,0.00161939
34.3064,57.0805,5,1,7.9575,0.139408,7.17317,0.0130208,0.00161939
34.3064,57.0805,10,1,7.9575,0.139408,7.17317,0.0130208,0.00161939
38.2351,79.0223,2,1,11.0164,0.139408,7.17317,0.00940536,0.001453
38.2351,79.0223,5,1,11.0164,0.139408,7.17317,0.00940536,0.001453
38.2351,79.0223,10,1,11.0164,0.139408,7.17317,0.00940536,0.001453
42.6137,109.399,2,1,15.2511,0.139408,7.17317,0.00679381,0.0013037
42.6137,109.399,5,1,15.2511,0.139408,7.17317,0.00679381,0.0013037
42.6137,109.399,10,1,15.2511,0.139408,7.17317,0.00679381,0.0013037
47.4938,151.451,2,1,21.1136,0.139408,7.17317,0.0049074,0.00116974
47.4938,151.451,5,1,21.1136,0.139408,7.17317,0.0049074,0.00116974
47.4938,151.451,10,1,21.1136,0.139408,7.17317,0.0049074,0.00116974
52.9327,209.67,2,1,29.2297,0.139408,7.17317,0.00354478,0.00104955
52.9327,209.67,5,1,29.2297,0.139408,7.17317,0.00354478,0.00104955
52.9327,209.67,10,1,29.2297,0.139408,7.17317,0.00354478,0.00104955
58.9945,290.267,2,1,40.4656,0.139408,7.17317,0.00256052,0.000941707
58.9945,290.267,5,1,40.4656,0.139408,7.17317,0.00256052,0.000941707
58.9945,290.267,10,1,40.4656,0.139408,7.17317,0.00256052,0.000941707
65.7505,401.846,2,1,56.0206,0.139408,7.17317,0.00184955,0.000844945
65.7505,401.846,5,1,56.0206,0.139408,7.17317,0.00184955,0.000844945
65.7505,401.846,10,1,56.0206,0.139408,7.17317,0.00184955,0.000844945
73.2801,556.315,2,1,77.555,0.139408,7.17317,0.00133599,0.000758126
73.2801,556.315,5,1,77.555,0.139408,7.17317,0.00133599,0.000758126
73.2801,556.315,10,1,77.555,0.139408,7.17317,0.00133599,0.000758126
81.6721,770.164,2,1,107.367,0.139408,7.17317,0.000965033,0.000680227
81.6721,770.164,5,1,107.367,0.139408,7.17317,0.000965033,0.000680227
81.6721,770.164,10,1,107.367,0.139408,7.17317,0.000965033,0.000680227
91.025,1066.22,2,1,148.639,0.139408,7.17317,0.000697076,0.000610333
91.025,1066.22,5,1,148.639,0.139408,7.17317,0.000697076,0.000610333
91.025,1066.22,10,1,148.639,0.139408,7.17317,0.000697076,0.000610333
101.449,1476.07,2,1,205.777,0.139408,7.17317,0.000503522,0.00054762
101.449,1476.07,5,1,205.777,0.139408,7.17317,0.000503522,0.00054762
101.449,1476.07,10,1,205.777,0.139408,7.17317,0.000503522,0.00054762
113.067,2043.47,2,1,284.877,0.139408,7.17317,0.000363711,0.000491351
113.067,2043.47,5,1,284.877,0.139408,7.17317,0.000363711,0.000491351
113.067,2043.47,10,1,284.877,0.139408,7.17317,0.000363711,0.000491351
126.015,2828.99,2,1,394.384,0.139408,7.17317,0.000262721,0.000440864
126.015,2828.99,5,1,394.384,0.139408,7.17317,0.000262721,0.000440864
126.015,2828.99,10,1,394.384,0.139408,7.17317,0.000262721,0.000440864
140.446,3916.45,2,1,545.986,0.139408,7.17317,0.000189772,0.000395565
140.446,3916.45,5,1,545.986,0.139408,7.17317,0.000189772,0.000395565
140.446,3916.45,10,1,545.986,0.139408,7.17317,0.000189772,0.000395565
156.53,5421.94,2,1,755.864,0.139408,7.17317,0.000137079,0.00035492
