h_km,beta,v_rel_m_s,d_debris_cm,m_t_g,m_p_min_g,m_p_design_g,f_h_g_per_g,f_h_v4_direct_g_per_g,f_ratio_v4_over_v5,Es_kJ_kg,Es_below_threshold,d_grain_Re_mm_if_single,d_grain_W_mm_if_single
400,2,619,2,11.3097,0.527339,1.05468,0.093254,0.141212,1.51427,17.8657,True,4.57683,4.71227
400,2,619,5,176.715,8.23967,16.4793,0.093254,0.141212,1.51427,17.8657,True,11.4421,11.7807
400,2,619,10,1413.72,65.9174,131.835,0.093254,0.141212,1.51427,17.8657,True,22.8842,23.5614
400,2,800,0.5,0.176715,0.00637545,0.0127509,0.0721553,0.109262,1.51427,23.0897,True,1.05044,1.08153
400,2,800,1,1.41372,0.0510036,0.102007,0.0721553,0.109262,1.51427,23.0897,True,2.10088,2.16305
400,2,800,2,11.3097,0.408029,0.816057,0.0721553,0.109262,1.51427,23.0897,True,4.20177,4.32611
400,2,800,5,176.715,6.37545,12.7509,0.0721553,0.109262,1.51427,23.0897,True,10.5044,10.8153
400,2,800,10,1413.72,51.0036,102.007,0.0721553,0.109262,1.51427,23.0897,True,21.0088,21.6305
400,2,1000,0.5,0.176715,0.00510036,0.0102007,0.0577243,0.08741,1.51427,28.8621,True,0.975144,1.004
400,2,1000,1,1.41372,0.0408029,0.0816057,0.0577243,0.08741,1.51427,28.8621,True,1.95029,2.008
400,2,1000,2,11.3097,0.326423,0.652846,0.0577243,0.08741,1.51427,28.8621,True,3.90058,4.016
400,2,1000,5,176.715,5.10036,10.2007,0.0577243,0.08741,1.51427,28.8621,True,9.75144,10.04
400,2,1000,10,1413.72,40.8029,81.6057,0.0577243,0.08741,1.51427,28.8621,True,19.5029,20.08
400,2.5,400,0.5,0.176715,0.0102007,0.0204014,0.115449,0.17482,1.51427,9.23588,True,1.2286,1.26496
400,2.5,400,1,1.41372,0.0816057,0.163211,0.115449,0.17482,1.51427,9.23588,True,2.45721,2.52992
400,2.5,400,2,11.3097,0.652846,1.30569,0.115449,0.17482,1.51427,9.23588,True,4.91442,5.05984
400,2.5,400,5,176.715,10.2007,20.4014,0.115449,0.17482,1.51427,9.23588,True,12.286,12.6496
400,2.5,400,10,1413.72,81.6057,163.211,0.115449,0.17482,1.51427,9.23588,True,24.5721,25.2992
400,2.5,619,0.5,0.176715,0.00659174,0.0131835,0.0746032,0.112969,1.51427,14.2925,True,1.06219,1.09362
400,2.5,619,1,1.41372,0.0527339,0.105468,0.0746032,0.112969,1.51427,14.2925,True,2.12438,2.18724
400,2.5,619,2,11.3097,0.421871,0.843743,0.0746032,0.112969,1.51427,14.2925,True,4.24876,4.37448
400,2.5,619,5,176.715,6.59174,13.1835,0.0746032,0.112969,1.51427,14.2925,True,10.6219,10.9362
