R_m,tau_ms,u_m_s,pointing_urad,muzzle_frac,lidar_bw,sigma_range_m,tof_s,t_go_s,sigma_pos_m,sigma_pos_snr10_m,sigma_v_m_s,a_rel_m_s2,term_vel_extrap_m,term_rel_accel_m,term_pointing_m,term_muzzle_m,term_range_m,d_miss_M1_v4_m,d_miss_M2_coorbital_m,d_miss_M3_extrapolating_m,penalty_M3,penalty_M1,M_launch_M3_g,M_launch_M1_g,p_hit_plan_M1,p_hit_plan_M3
1,0.1,1,1000,0.01,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,1.61551e-05,5.41483e-05,0.0619,0.00100513,0.00100161,0.50234,1918.59,0.080932,309.103,0.98682,0.999997
1,0.1,10,50,0.001,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,1.61551e-05,0.541483,0.0619,0.00100139,0.541483,146815,1918.59,23653.3,309.103,0.98682,0.362312
1,0.1,10,50,0.001,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,1.61551e-05,0.00541483,0.0619,0.00100139,0.00541509,14.6829,1918.59,2.36556,309.103,0.98682,0.999898
1,0.1,10,50,0.001,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,1.61551e-05,0.000541483,0.0619,0.00100139,0.000544055,0.148213,1918.59,0.0238785,309.103,0.98682,0.999999
1,0.1,10,50,0.01,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,0.000161551,0.541483,0.0619,0.00101421,0.541483,146815,1918.59,23653.4,309.103,0.98682,0.362312
1,0.1,10,50,0.01,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,0.000161551,0.00541483,0.0619,0.00101421,0.00541748,14.6958,1918.59,2.36764,309.103,0.98682,0.999898
1,0.1,10,50,0.01,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,0.000161551,0.000541483,0.0619,0.00101421,0.000567303,0.16115,1918.59,0.0259629,309.103,0.98682,0.999999
1,0.1,10,200,0.001,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,1.61551e-05,0.541483,0.0619,0.00101995,0.541483,146815,1918.59,23653.4,309.103,0.98682,0.362312
1,0.1,10,200,0.001,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,1.61551e-05,0.00541483,0.0619,0.00101995,0.00541855,14.7017,1918.59,2.36859,309.103,0.98682,0.999898
1,0.1,10,200,0.001,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,1.61551e-05,0.000541483,0.0619,0.00101995,0.000577491,0.16699,1918.59,0.0269037,309.103,0.98682,0.999999
1,0.1,10,200,0.01,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,0.000161551,0.541483,0.0619,0.00103254,0.541483,146815,1918.59,23653.4,309.103,0.98682,0.362312
1,0.1,10,200,0.01,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,0.000161551,0.00541483,0.0619,0.00103254,0.00542094,14.7146,1918.59,2.37067,309.103,0.98682,0.999898
