h_km,inc_deg,park_offset_km,nodal_rate_deg_day,differential_drift_deg_day,days_per_deg_RAAN,dv_for_offset_m_s,dv_1deg_inclination_m_s
1100,51.6,50,-3.55026,0.0844287,11.8443,49.1311,127.483
1100,51.6,100,-3.55026,0.171456,5.83238,98.7604,127.483
1100,74,25,-1.57544,0.0185913,53.7886,24.5037,127.483
1100,74,50,-1.57544,0.0374656,26.6911,49.1311,127.483
1100,74,100,-1.57544,0.0760846,13.1433,98.7604,127.483
1100,82,25,-0.795463,0.00938701,106.53,24.5037,127.483
1100,82,50,-0.795463,0.0189169,52.8627,49.1311,127.483
1100,82,100,-0.795463,0.0384162,26.0307,98.7604,127.483
1100,98,25,0.795463,0.00938701,106.53,24.5037,127.483
1100,98,50,0.795463,0.0189169,52.8627,49.1311,127.483
1100,98,100,0.795463,0.0384162,26.0307,98.7604,127.483
1200,51.6,25,-3.38882,0.0394583,25.3432,24.0191,126.638
1200,51.6,50,-3.38882,0.0795092,12.5772,48.1577,126.638
1200,51.6,100,-3.38882,0.161433,6.19452,96.7972,126.638
1200,74,25,-1.50381,0.0175098,57.1109,24.0191,126.638
1200,74,50,-1.50381,0.0352826,28.3426,48.1577,126.638
1200,74,100,-1.50381,0.0716367,13.9593,96.7972,126.638
1200,82,25,-0.759293,0.00884094,113.11,24.0191,126.638
1200,82,50,-0.759293,0.0178147,56.1335,48.1577,126.638
1200,82,100,-0.759293,0.0361704,27.6469,96.7972,126.638
1200,98,25,0.759293,0.00884094,113.11,24.0191,126.638
1200,98,50,0.759293,0.0178147,56.1335,48.1577,126.638
1200,98,100,0.759293,0.0361704,27.6469,96.7972,126.638
