d_debris_cm,h_km,dh_km,v_rel_m_s,solar_case,P_viable,P_viable_no_value_test,P_viable_perkg,P_c1,P_c2,P_c3,P_c4,P_c5,P_c6,median_t_natural,median_cost_object,median_shot_g,median_t_decay,d_miss_mm
0.5,400,250,800,solar_min,0,0.4452,0,0.6752,1,1,0.6752,0.66195,0,0.145287,23939.7,0.791431,0.000558934,4.64462
0.5,400,250,800,nominal,0,0.4464,0,0.67575,1,1,0.67575,0.6588,0,0.0312242,24144.2,0.793364,0.000420769,4.64462
0.5,400,250,800,solar_max,0,0.45635,0,0.6822,1,1,0.6822,0.6668,0,0.0122591,23223,0.788189,0.000318739,4.64462
0.5,400,250,1000,solar_min,0,0.2927,0,0.44005,1,1,0.44005,0.66195,0,0.145287,24135.6,0.444737,0.000558934,3.9048
0.5,400,250,1000,nominal,0,0.2842,0,0.42875,1,1,0.42875,0.6591,0,0.0312242,24285.8,0.449412,0.000420769,3.9048
0.5,400,250,1000,solar_max,0,0.28805,0,0.4311,1,1,0.4311,0.6608,0,0.0122591,24157,0.44679,0.000318739,3.9048
0.5,500,150,400,solar_min,0,0.66155,0,1,1,1,1,0.66155,0,1.32249,23721.8,3.16301,0.178559,8.61863
0.5,500,150,400,nominal,0,0.66485,0,1,1,1,1,0.66485,0,0.173017,23715.8,3.16563,0.0388549,8.61863
0.5,500,150,400,solar_max,0,0.66125,0,1,1,1,1,0.66125,0,0.0528017,24030.8,3.15808,0.0151661,8.61863
0.5,500,150,500,solar_min,0,0.66465,0,1,1,1,1,0.66465,0,1.32249,23616.7,1.66727,0.178559,6.99863
0.5,500,150,500,nominal,0,0.66455,0,1,1,1,1,0.66455,0,0.173017,23276,1.67513,0.0388549,6.99863
0.5,500,150,500,solar_max,0,0.66495,0,1,1,1,1,0.66495,0,0.0528017,23499.6,1.67522,0.0151661,6.99863
0.5,500,150,619,solar_min,0,0.66455,0,1,1,1,1,0.66455,0,1.32249,23838.3,0.918072,0.178559,5.77491
0.5,500,150,619,nominal,0,0.6615,0,1,1,1,1,0.6615,0,0.173017,23494.5,0.92567,0.0388549,5.77491
0.5,500,150,619,solar_max,0,0.6675,0,1,1,1,1,0.6675,0,0.0528017,23423.1,0.921351,0.0151661,5.77491
0.5,500,150,800,solar_min,0,0.6552,0,0.9924,1,1,0.9924,0.66035,0,1.32249,23270.7,0.458959,0.178559,4.64462
0.5,500,150,800,nominal,0,0.6562,0,0.9919,1,1,0.9919,0.6611,0,0.173017,23204.1,0.462055,0.0388549,4.64462
0.5,500,150,800,solar_max,0,0.65925,0,0.99335,1,1,0.99335,0.6636,0,0.0528017,23837.8,0.45951,0.0151661,4.64462
0.5,500,150,1000,solar_min,0,0.60915,0,0.92565,1,1,0.92565,0.65815,0,1.32249,24506.4,0.259976,0.178559,3.9048
0.5,500,150,1000,nominal,0,0.61605,0,0.92945,1,1,0.92945,0.66105,0,0.173017,23956.2,0.258949,0.0388549,3.9048
0.5,500,150,1000,solar_max,0,0.61765,0,0.9287,1,1,0.9287,0.66645,0,0.0528017,23750.3,0.258949,0.0151661,3.9048
0.5,500,200,400,solar_min,0,0.6569,0,1,1,1,1,0.6569,0,1.32249,24401,4.23234,0.0715334,8.61863
0.5,500,200,400,nominal,0,0.6704,0,1,1,1,1,0.6704,0,0.173017,23209,4.2197,0.0198993,8.61863
0.5,500,200,400,solar_max,0,0.6656,0,1,1,1,1,0.6656,0,0.0528017,23616.7,4.25912,0.00873304,8.61863
0.5,500,200,500,solar_min,0,0.66325,0,1,1,1,1,0.66325,0,1.32249,23862.3,2.24037,0.0715334,6.99863
0.5,500,200,500,nominal,0,0.6614,0,1,1,1,1,0.6614,0,0.173017,23958.6,2.24494,0.0198993,6.99863
0.5,500,200,500,solar_max,0,0.66145,0,1,1,1,1,0.66145,0,0.0528017,24038.7,2.24223,0.00873304,6.99863
0.5,500,200,619,solar_min,0,0.65385,0,0.9869,1,1,0.9869,0.6632,0,1.32249,23814.6,1.23318,0.0715334,5.77491
0.5,500,200,619,nominal,0,0.65525,0,0.9874,1,1,0.9874,0.66355,0,0.173017,23366.6,1.23293,0.0198993,5.77491
0.5,500,200,619,solar_max,0,0.6546,0,0.987,1,1,0.987,0.6632,0,0.0528017,23535.3,1.22909,0.00873304,5.77491
0.5,500,200,800,solar_min,0,0.5877,0,0.8925,1,1,0.8925,0.6594,0,1.32249,24005.6,0.616728,0.0715334,4.64462
0.5,500,200,800,nominal,0,0.5846,0,0.89055,1,1,0.89055,0.6562,0,0.173017,24045.9,0.616008,0.0198993,4.64462
0.5,500,200,800,solar_max,0,0.58215,0,0.88825,1,1,0.88825,0.65445,0,0.0528017,24003,0.617587,0.00873304,4.64462
0.5,500,200,1000,solar_min,0,0.4641,0,0.70285,1,1,0.70285,0.6612,0,1.32249,23802.4,0.347902,0.0715334,3.9048
0.5,500,200,1000,nominal,0,0.4642,0,0.705,1,1,0.705,0.6595,0,0.173017,23902.9,0.348202,0.0198993,3.9048
0.5,500,200,1000,solar_max,0,0.47085,0,0.70835,1,1,0.70835,0.6672,0,0.0528017,22923.8,0.346833,0.00873304,3.9048
0.5,500,250,400,solar_min,0,0.6592,0,1,1,1,1,0.6592,0,1.32249,24144.4,5.35775,0.0239112,8.61863
0.5,500,250,400,nominal,0,0.66505,0,1,1,1,1,0.66505,0,0.173017,23844.7,5.33006,0.00888613,8.61863
0.5,500,250,400,solar_max,0,0.6617,0,1,1,1,1,0.6617,0,0.0528017,23482.9,5.30773,0.00449754,8.61863
0.5,500,250,500,solar_min,0,0.64785,0,0.9872,1,1,0.9872,0.65695,0,1.32249,24283.7,2.79757,0.0239112,6.99863
0.5,500,250,500,nominal,0,0.6449,0,0.9841,1,1,0.9841,0.6557,0,0.173017,24429.2,2.84519,0.00888613,6.99863
0.5,500,250,500,solar_max,0,0.65755,0,0.9862,1,1,0.9862,0.6669,0,0.0528017,23139.9,2.81298,0.00449754,6.99863
0.5,500,250,619,solar_min,0,0.6039,0,0.9084,1,1,0.9084,0.66565,0,1.32249,23246.4,1.54066,0.0239112,5.77491
0.5,500,250,619,nominal,0,0.5993,0,0.9047,1,1,0.9047,0.663,0,0.173017,23102.5,1.54048,0.00888613,5.77491
0.5,500,250,619,solar_max,0,0.59625,0,0.9051,1,1,0.9051,0.6579,0,0.0528017,24479.3,1.55434,0.00449754,5.77491
0.5,500,250,800,solar_min,0,0.4615,0,0.703,1,1,0.703,0.6557,0,1.32249,24041.4,0.769286,0.0239112,4.64462
0.5,500,250,800,nominal,0,0.46505,0,0.7011,1,1,0.7011,0.6606,0,0.173017,23949.7,0.772505,0.00888613,4.64462
0.5,500,250,800,solar_max,0,0.46365,0,0.69915,1,1,0.69915,0.663,0,0.0528017,23729,0.772909,0.00449754,4.64462
0.5,500,250,1000,solar_min,0,0.31075,0,0.4626,1,1,0.4626,0.6642,0,1.32249,23650.2,0.436658,0.0239112,3.9048
0.5,500,250,1000,nominal,0,0.3092,0,0.4643,1,1,0.4643,0.6667,0,0.173017,23335.9,0.436717,0.00888613,3.9048
0.5,500,250,1000,solar_max,0,0.3057,0,0.46365,1,1,0.46365,0.6572,0,0.0528017,24070.9,0.43744,0.00449754,3.9048
0.5,600,150,400,solar_min,0,0.65785,0,1,1,1,1,0.65785,0,8.60149,24197.1,3.09146,1.6343,8.61863
0.5,600,150,400,nominal,0,0.66245,0,1,1,1,1,0.66245,0,0.796398,23619.9,3.08743,0.214797,8.61863
0.5,600,150,400,solar_max,0,0.66535,0,1,1,1,1,0.66535,0,0.192149,23396.4,3.11509,0.0647863,8.61863
0.5,600,150,500,solar_min,0,0.6635,0,1,1,1,1,0.6635,0,8.60149,23829,1.63548,1.6343,6.99863
0.5,600,150,500,nominal,0,0.66145,0,1,1,1,1,0.66145,0,0.796398,23635.7,1.62777,0.214797,6.99863
0.5,600,150,500,solar_max,0,0.6563,0,1,1,1,1,0.6563,0,0.192149,24487.8,1.63243,0.0647863,6.99863
0.5,600,150,619,solar_min,0,0.65905,0,1,1,1,1,0.65905,0,8.60149,23472.9,0.901836,1.6343,5.77491
0.5,600,150,619,nominal,0,0.65525,0,1,1,1,1,0.65525,0,0.796398,24064.6,0.897044,0.214797,5.77491
0.5,600,150,619,solar_max,0,0.662,0,1,1,1,1,0.662,0,0.192149,23525.6,0.897976,0.0647863,5.77491
0.5,600,150,800,solar_min,0,0.6621,0,0.99535,1,1,0.99535,0.66515,0,8.60149,23215.7,0.448546,1.6343,4.64462
0.5,600,150,800,nominal,0,0.6514,0,0.9954,1,1,0.9954,0.65435,0,0.796398,24494.7,0.449161,0.214797,4.64462
0.5,600,150,800,solar_max,0,0.65045,0,0.9952,1,1,0.9952,0.6539,0,0.192149,24305.8,0.447876,0.0647863,4.64462
0.5,600,150,1000,solar_min,0,0.6216,0,0.93825,1,1,0.93825,0.6628,0,8.60149,23514.8,0.25344,1.6343,3.9048
0.5,600,150,1000,nominal,0,0.61965,0,0.93745,1,1,0.93745,0.661,0,0.796398,24388.9,0.25409,0.214797,3.9048
0.5,600,150,1000,solar_max,0,0.61785,0,0.9386,1,1,0.9386,0.65845,0,0.192149,24043,0.253479,0.0647863,3.9048
0.5,600,200,400,solar_min,0,0.66335,0,1,1,1,1,0.66335,0,8.60149,23448.2,4.1501,0.768341,8.61863
0.5,600,200,400,nominal,0,0.66605,0,1,1,1,1,0.66605,0,0.796398,23805.3,4.17693,0.123769,8.61863
0.5,600,200,400,solar_max,0,0.6626,0,1,1,1,1,0.6626,0,0.192149,23776,4.16257,0.0412426,8.61863
0.5,600,200,500,solar_min,0,0.66225,0,1,1,1,1,0.66225,0,8.60149,24118.6,2.19437,0.768341,6.99863
0.5,600,200,500,nominal,0,0.6658,0,1,1,1,1,0.6658,0,0.796398,23546.4,2.18639,0.123769,6.99863
0.5,600,200,500,solar_max,0,0.6577,0,1,1,1,1,0.6577,0,0.192149,24438.6,2.18928,0.0412426,6.99863
0.5,600,200,619,solar_min,0,0.65365,0,0.99145,1,1,0.99145,0.65925,0,8.60149,23988.4,1.19842,0.768341,5.77491
0.5,600,200,619,nominal,0,0.64845,0,0.98965,1,1,0.98965,0.655,0,0.796398,24350.4,1.1982,0.123769,5.77491
0.5,600,200,619,solar_max,0,0.6593,0,0.9901,1,1,0.9901,0.6656,0,0.192149,23409.9,1.21082,0.0412426,5.77491
0.5,600,200,800,solar_min,0,0.59425,0,0.90075,1,1,0.90075,0.66015,0,8.60149,23495.9,0.601197,0.768341,4.64462
0.5,600,200,800,nominal,0,0.5909,0,0.9003,1,1,0.9003,0.65705,0,0.796398,24010,0.600097,0.123769,4.64462
0.5,600,200,800,solar_max,0,0.5935,0,0.8996,1,1,0.8996,0.6602,0,0.192149,23897.5,0.604044,0.0412426,4.64462
0.5,600,200,1000,solar_min,0,0.47745,0,0.7273,1,1,0.7273,0.6554,0,8.60149,24103.1,0.340137,0.768341,3.9048
0.5,600,200,1000,nominal,0,0.48685,0,0.72705,1,1,0.72705,0.6658,0,0.796398,23477.1,0.339738,0.123769,3.9048
0.5,600,200,1000,solar_max,0,0.4866,0,0.72605,1,1,0.72605,0.6666,0,0.192149,23713.4,0.340971,0.0412426,3.9048
0.5,600,250,400,solar_min,0,0.6697,0,1,1,1,1,0.6697,0,8.60149,23168.1,5.21127,0.323931,8.61863
0.5,600,250,400,nominal,0,0.6586,0,1,1,1,1,0.6586,0,0.796398,23980,5.1996,0.0662273,8.61863
0.5,600,250,400,solar_max,0,0.6611,0,1,1,1,1,0.6611,0,0.192149,23914,5.21787,0.024729,8.61863
0.5,600,250,500,solar_min,0,0.6483,0,0.98815,1,1,0.98815,0.65615,0,8.60149,24182.5,2.73817,0.323931,6.99863
0.5,600,250,500,nominal,0,0.6508,0,0.987,1,1,0.987,0.65945,0,0.796398,23880.9,2.73064,0.0662273,6.99863
0.5,600,250,500,solar_max,0,0.65565,0,0.98845,1,1,0.98845,0.66255,0,0.192149,23823.2,2.74505,0.024729,6.99863
0.5,600,250,619,solar_min,0,0.6113,0,0.9206,1,1,0.9206,0.66565,0,8.60149,23446.5,1.50906,0.323931,5.77491
0.5,600,250,619,nominal,0,0.611,0,0.91885,1,1,0.91885,0.66555,0,0.796398,23146.1,1.51115,0.0662273,5.77491
0.5,600,250,619,solar_max,0,0.60675,0,0.91865,1,1,0.91865,0.6613,0,0.192149,23851.9,1.51162,0.024729,5.77491
0.5,600,250,800,solar_min,0,0.47625,0,0.72165,1,1,0.72165,0.66075,0,8.60149,24010.4,0.754483,0.323931,4.64462
0.5,600,250,800,nominal,0,0.4717,0,0.71565,1,1,0.71565,0.658,0,0.796398,24104.7,0.757376,0.0662273,4.64462
0.5,600,250,800,solar_max,0,0.475,0,0.7246,1,1,0.7246,0.6532,0,0.192149,24394.3,0.756135,0.024729,4.64462
0.5,600,250,1000,solar_min,0,0.32515,0,0.4889,1,1,0.4889,0.6639,0,8.60149,24070,0.428416,0.323931,3.9048
0.5,600,250,1000,nominal,0,0.32265,0,0.48755,1,1,0.48755,0.6646,0,0.796398,23395.5,0.426447,0.0662273,3.9048
0.5,600,250,1000,solar_max,0,0.317,0,0.48205,1,1,0.48205,0.66155,0,0.192149,24105.2,0.428826,0.024729,3.9048
0.5,700,150,400,solar_min,0.66225,0.66225,0,1,1,1,1,0.66225,1,36.076,23896.1,3.02362,10.4743,8.61863
0.5,700,150,400,nominal,0,0.6616,0,1,1,1,1,0.6616,0,3.18677,23545.7,3.02247,0.981824,8.61863
0.5,700,150,400,solar_max,0,0.66155,0,1,1,1,1,0.66155,0,0.625381,23604.9,3.03942,0.233762,8.61863
0.5,700,150,500,solar_min,0.66865,0.66865,0,1,1,1,1,0.66865,1,36.076,23221.2,1.59072,10.4743,6.99863
0.5,700,150,500,nominal,0,0.663,0,1,1,1,1,0.663,0,3.18677,23577.9,1.60627,0.981824,6.99863
0.5,700,150,500,solar_max,0,0.66295,0,1,1,1,1,0.66295,0,0.625381,23223.2,1.5999,0.233762,6.99863
0.5,700,150,619,solar_min,0.6592,0.6592,0,1,1,1,1,0.6592,1,36.076,23806.6,0.8797,10.4743,5.77491
0.5,700,150,619,nominal,0,0.66405,0,1,1,1,1,0.66405,0,3.18677,23514.7,0.879854,0.981824,5.77491
0.5,700,150,619,solar_max,0,0.667,0,1,1,1,1,0.667,0,0.625381,23838,0.880228,0.233762,5.77491
0.5,700,150,800,solar_min,0.65345,0.65345,0,0.99735,1,1,0.99735,0.6552,1,36.076,24328.5,0.43866,10.4743,4.64462
0.5,700,150,800,nominal,0,0.65665,0,0.99725,1,1,0.99725,0.65845,0,3.18677,23983,0.44055,0.981824,4.64462
0.5,700,150,800,solar_max,0,0.65735,0,0.9969,1,1,0.9969,0.65945,0,0.625381,23559.1,0.442059,0.233762,4.64462
0.5,700,150,1000,solar_min,0.62755,0.62755,0,0.9446,1,1,0.9446,0.66435,1,36.076,23437.5,0.248563,10.4743,3.9048
0.5,700,150,1000,nominal,0,0.6227,0,0.9455,1,1,0.9455,0.6583,0,3.18677,24510.2,0.24904,0.981824,3.9048
0.5,700,150,1000,solar_max,0,0.6249,0,0.94585,1,1,0.94585,0.66015,0,0.625381,24249.7,0.248644,0.233762,3.9048
0.5,700,200,400,solar_min,0.66065,0.66065,0,1,1,1,1,0.66065,1,36.076,23968.3,4.06713,5.74474,8.61863
0.5,700,200,400,nominal,0,0.6562,0,1,1,1,1,0.6562,0,3.18677,23925.6,4.09523,0.604432,8.61863
0.5,700,200,400,solar_max,0,0.6596,0,1,1,1,1,0.6596,0,0.625381,24108,4.06239,0.157355,8.61863
0.5,700,200,500,solar_min,0.66555,0.66555,0,1,1,1,1,0.66555,1,36.076,23245.8,2.1443,5.74474,6.99863
0.5,700,200,500,nominal,0,0.66095,0,1,1,1,1,0.66095,0,3.18677,23656.9,2.15037,0.604432,6.99863
0.5,700,200,500,solar_max,0,0.661,0,1,1,1,1,0.661,0,0.625381,24074.4,2.12524,0.157355,6.99863
0.5,700,200,619,solar_min,0.65815,0.65815,0,0.9934,1,1,0.9934,0.66255,1,36.076,23057.3,1.17788,5.74474,5.77491
0.5,700,200,619,nominal,0,0.6586,0,0.9928,1,1,0.9928,0.6635,0,3.18677,23532.6,1.18191,0.604432,5.77491
0.5,700,200,619,solar_max,0,0.66075,0,0.9932,1,1,0.9932,0.6654,0,0.625381,23748,1.17826,0.157355,5.77491
0.5,700,200,800,solar_min,0.60685,0.60685,0,0.9158,1,1,0.9158,0.66335,1,36.076,23844.3,0.587947,5.74474,4.64462
0.5,700,200,800,nominal,0,0.6036,0,0.90895,1,1,0.90895,0.6626,0,3.18677,23940.1,0.592733,0.604432,4.64462
0.5,700,200,800,solar_max,0,0.60215,0,0.9136,1,1,0.9136,0.6592,0,0.625381,23864.5,0.591162,0.157355,4.64462
0.5,700,200,1000,solar_min,0.4982,0.4982,0,0.74855,1,1,0.74855,0.66425,1,36.076,23759.3,0.332912,5.74474,3.9048
0.5,700,200,1000,nominal,0,0.4972,0,0.74535,1,1,0.74535,0.6655,0,3.18677,23625.5,0.332693,0.604432,3.9048
0.5,700,200,1000,solar_max,0,0.48885,0,0.74085,1,1,0.74085,0.65885,0,0.625381,24059.2,0.334659,0.157355,3.9048
0.5,700,250,400,solar_min,0.65705,0.65705,0,1,1,1,1,0.65705,1,36.076,25223.5,5.09619,2.83037,8.61863
0.5,700,250,400,nominal,0,0.66235,0,1,1,1,1,0.66235,0,3.18677,23895.1,5.09905,0.353081,8.61863
0.5,700,250,400,solar_max,0,0.6644,0,1,1,1,1,0.6644,0,0.625381,23644.9,5.11975,0.10167,8.61863
0.5,700,250,500,solar_min,0.6542,0.6542,0,0.992,1,1,0.992,0.6597,1,36.076,24150.6,2.69201,2.83037,6.99863
0.5,700,250,500,nominal,0,0.6518,0,0.9913,1,1,0.9913,0.65715,0,3.18677,24618.1,2.68804,0.353081,6.99863
0.5,700,250,500,solar_max,0,0.65335,0,0.99105,1,1,0.99105,0.6597,0,0.625381,23478.2,2.68201,0.10167,6.99863
0.5,700,250,619,solar_min,0.6188,0.6188,0,0.92995,1,1,0.92995,0.66625,1,36.076,23140.5,1.48055,2.83037,5.77491
0.5,700,250,619,nominal,0,0.6134,0,0.9275,1,1,0.9275,0.6609,0,3.18677,23742.5,1.48003,0.353081,5.77491
0.5,700,250,619,solar_max,0,0.6116,0,0.927,1,1,0.927,0.66165,0,0.625381,23544.6,1.47777,0.10167,5.77491
0.5,700,250,800,solar_min,0.49155,0.49155,0,0.74135,1,1,0.74135,0.66195,1,36.076,23673.5,0.739991,2.83037,4.64462
0.5,700,250,800,nominal,0,0.48885,0,0.7384,1,1,0.7384,0.6599,0,3.18677,23854.3,0.743754,0.353081,4.64462
0.5,700,250,800,solar_max,0,0.4894,0,0.7371,1,1,0.7371,0.6645,0,0.625381,22970,0.74118,0.10167,4.64462
