charge_g,chamber_cm3,v_muzzle,P_max_MPa,t_ms,eff_pct,a_max_g,under_100MPa
5.0,8.333333333333334,322.27263631462336,101.92863071747625,3.769551655095166,23.887719986950824,31692.11295312068,False
6.0,10.0,362.56373581736426,113.09215439211961,3.4405924339563443,25.195055318220003,35268.38456110458,False
7.0,11.666666666666666,399.14067810148623,123.69021060510248,3.196257950151985,26.17289615037305,38663.50680377039,False
8.0,13.333333333333334,432.76255519386183,133.81910969776328,3.0063617319288247,26.92199294432604,41908.333016437864,False
9.0,15.000000000000002,463.9479948467255,143.54835780394734,2.8538028430925673,27.50387813451576,45025.12971820047,False
10.0,16.666666666666668,493.07177192534425,152.9302426921443,2.7280993585741693,27.958773811003848,48030.647468052324,False
11.0,18.333333333333332,520.4159697722681,162.00533418816752,2.622435175838246,28.31433625755562,50937.882943424825,False
12.0,20.0,546.1994944989711,170.80579351488663,2.532168827194346,28.590330913297613,53757.13909807871,False
13.0,21.666666666666668,570.5961880779712,179.35796940440193,2.4540205003194977,28.80130856357524,56496.8568351968,False
14.0,23.333333333333336,593.7463870241054,187.6835542062388,2.38560106147551,28.95821342284325,59163.98537045496,False
15.0,24.999999999999996,615.7643261979457,195.8008421470653,2.3251254981697116,29.069370748714107,61764.3853196704,False
16.0,26.666666666666668,636.741806502662,203.72528296884727,2.271231333354262,29.141009210657156,64303.00605860952,False
17.0,28.333333333333336,656.7480367420519,211.47025803099456,2.2228600155931844,29.17739301936591,66784.13434986884,False
18.0,30.000000000000004,675.8649915464829,219.04736488382503,2.1791745685784085,29.18402832321369,69211.48550692217,False
19.0,31.666666666666668,694.1759564815055,226.46677882396298,2.139500601057893,29.166436702134998,71588.31921958439,False
20.0,33.333333333333336,711.7523669621824,233.73750950685883,2.103288240799954,29.12900733288547,73917.52176067798,False
