L_m,charge_g,v,P_max_MPa,a_max_g,t_ms,eff_pct,recoil_Ns,under_cap
0.6,7.822438169570692,400.0000000000012,132.0514768281244,41342.06599992342,2.313299922196186,23.522077900949306,42.184720829365766,False
0.8,7.224637052558122,400.00000000000136,126.0035800206735,39404.60232170947,2.901809549686113,25.468407431602387,42.738570295640685,False
1.0,6.864572917413814,400.00000000000057,122.28419630849706,38213.08548914635,3.477397797038791,26.804289533182118,43.28037600917536,False
1.2,6.626153407539163,400.0000000000023,119.78750666670746,37413.262732451665,4.042593174397099,27.76875038701171,43.81360784483321,False
1.5,6.394785367584341,400.00000000000205,117.33756361353814,36628.41539951432,4.874016579491795,28.773444208575317,44.59700353384521,False
2.0,6.187022575364123,400.0000000000034,115.11387930014041,35916.05079968939,6.22281767916409,29.739668436424648,45.86742547321143,False
